,State,Year,Quarter,District_pincode,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2018,1,744101,1622,2769298
1,Andaman & Nicobar,2018,1,744103,1223,2238042
2,Andaman & Nicobar,2018,1,744102,969,3519060
3,Andaman & Nicobar,2018,1,744105,685,1298561
4,Andaman & Nicobar,2018,1,744104,340,1039715
5,Andaman & Nicobar,2018,1,744107,302,556060
6,Andaman & Nicobar,2018,1,744301,283,445739
7,Andaman & Nicobar,2018,1,744112,269,333710
8,Andaman & Nicobar,2018,1,744202,193,238914
9,Andaman & Nicobar,2018,1,744302,168,547470
10,Andaman & Nicobar,2018,2,744101,2701,6310090
11,Andaman & Nicobar,2018,2,744103,1965,4752147
12,Andaman & Nicobar,2018,2,744102,1525,5810268
13,Andaman & Nicobar,2018,2,744105,997,2200333
14,Andaman & Nicobar,2018,2,744301,767,1953749
15,Andaman & Nicobar,2018,2,744104,659,1650346
16,Andaman & Nicobar,2018,2,744107,594,1601570
17,Andaman & Nicobar,2018,2,744112,432,578829
18,Andaman & Nicobar,2018,2,744202,405,626524
19,Andaman & Nicobar,2018,2,744302,291,1026590
20,Andaman & Nicobar,2018,3,744101,3462,10833893
21,Andaman & Nicobar,2018,3,744103,3182,10184154
22,Andaman & Nicobar,2018,3,744102,2224,10365275
23,Andaman & Nicobar,2018,3,744105,1613,5152534
24,Andaman & Nicobar,2018,3,744104,1029,2588078
25,Andaman & Nicobar,2018,3,744301,975,4256576
26,Andaman & Nicobar,2018,3,744112,579,1145816
27,Andaman & Nicobar,2018,3,744107,547,1492405
28,Andaman & Nicobar,2018,3,744302,417,1976782
29,Andaman & Nicobar,2018,3,744202,341,2099404
30,Andaman & Nicobar,2018,4,744101,4674,16392855
31,Andaman & Nicobar,2018,4,744103,4576,17022520
32,Andaman & Nicobar,2018,4,744102,3306,17019977
33,Andaman & Nicobar,2018,4,744105,2513,9935283
34,Andaman & Nicobar,2018,4,744104,1432,6091758
35,Andaman & Nicobar,2018,4,744211,1225,3451360
36,Andaman & Nicobar,2018,4,744301,928,4606294
37,Andaman & Nicobar,2018,4,744112,759,2208675
38,Andaman & Nicobar,2018,4,744107,747,1825660
39,Andaman & Nicobar,2018,4,744202,702,3797054
40,Andaman & Nicobar,2019,1,744103,5742,19401965
41,Andaman & Nicobar,2019,1,744101,5156,15501306
42,Andaman & Nicobar,2019,1,744102,3925,16683547
43,Andaman & Nicobar,2019,1,744105,3553,11588669
44,Andaman & Nicobar,2019,1,744104,2833,9141657
45,Andaman & Nicobar,2019,1,744211,1511,5794838
46,Andaman & Nicobar,2019,1,744202,1112,3613381
47,Andaman & Nicobar,2019,1,744107,1029,3592930
48,Andaman & Nicobar,2019,1,744301,920,4652963
49,Andaman & Nicobar,2019,1,744112,802,1893719
50,Andaman & Nicobar,2019,2,744104,6142,15625677
51,Andaman & Nicobar,2019,2,744103,5847,23751450
52,Andaman & Nicobar,2019,2,744101,4863,19061125
53,Andaman & Nicobar,2019,2,744102,4120,18948734
54,Andaman & Nicobar,2019,2,744105,3500,13418692
55,Andaman & Nicobar,2019,2,744202,1153,3619993
56,Andaman & Nicobar,2019,2,744107,1124,2967445
57,Andaman & Nicobar,2019,2,744211,1047,3168332
58,Andaman & Nicobar,2019,2,744301,1007,4849285
59,Andaman & Nicobar,2019,2,744112,763,2928100
60,Andaman & Nicobar,2019,3,744103,5680,19906337
61,Andaman & Nicobar,2019,3,744101,5606,18745152
62,Andaman & Nicobar,2019,3,744104,4786,15754793
63,Andaman & Nicobar,2019,3,744102,3643,14572606
64,Andaman & Nicobar,2019,3,744105,3512,11767224
65,Andaman & Nicobar,2019,3,744202,1417,3875602
66,Andaman & Nicobar,2019,3,744301,1402,6195497
67,Andaman & Nicobar,2019,3,744211,1118,2983697
68,Andaman & Nicobar,2019,3,744107,914,1988300
69,Andaman & Nicobar,2019,3,744112,833,2198832
70,Andaman & Nicobar,2019,4,744104,6633,20626643
71,Andaman & Nicobar,2019,4,744101,5282,23247752
72,Andaman & Nicobar,2019,4,744103,4840,19792508
73,Andaman & Nicobar,2019,4,744105,3528,15302141
74,Andaman & Nicobar,2019,4,744102,3237,15350445
75,Andaman & Nicobar,2019,4,744202,1783,5800017
76,Andaman & Nicobar,2019,4,744211,1596,7908265
77,Andaman & Nicobar,2019,4,744301,1549,7056479
78,Andaman & Nicobar,2019,4,744201,886,946768
79,Andaman & Nicobar,2019,4,744107,777,3030369
80,Andaman & Nicobar,2020,1,744101,11793,58229349
81,Andaman & Nicobar,2020,1,744103,5870,22009443
82,Andaman & Nicobar,2020,1,744105,4635,16774043
83,Andaman & Nicobar,2020,1,744102,3820,14517706
84,Andaman & Nicobar,2020,1,744211,1837,8425388
85,Andaman & Nicobar,2020,1,744301,1819,6901162
86,Andaman & Nicobar,2020,1,744202,1794,5037742
87,Andaman & Nicobar,2020,1,744104,1302,5293130
88,Andaman & Nicobar,2020,1,744201,1157,1242639
89,Andaman & Nicobar,2020,1,744107,1043,2990354
90,Andaman & Nicobar,2020,2,744101,11868,48293323
91,Andaman & Nicobar,2020,2,744103,10035,26197536
92,Andaman & Nicobar,2020,2,744105,9341,23203020
93,Andaman & Nicobar,2020,2,744102,6012,17786751
94,Andaman & Nicobar,2020,2,744202,3722,8924121
95,Andaman & Nicobar,2020,2,744107,2555,3980471
96,Andaman & Nicobar,2020,2,744301,2275,9055233
97,Andaman & Nicobar,2020,2,744211,2045,3319718
98,Andaman & Nicobar,2020,2,744205,1847,4459065
99,Andaman & Nicobar,2020,2,744104,1840,3334592
100,Andaman & Nicobar,2020,3,744101,24386,100439120
101,Andaman & Nicobar,2020,3,744103,21272,60332279
102,Andaman & Nicobar,2020,3,744105,17166,44061507
103,Andaman & Nicobar,2020,3,744102,13934,43077190
104,Andaman & Nicobar,2020,3,744202,5779,11975749
105,Andaman & Nicobar,2020,3,744107,4753,7628019
106,Andaman & Nicobar,2020,3,744104,3468,7353835
107,Andaman & Nicobar,2020,3,744112,3422,6067987
108,Andaman & Nicobar,2020,3,744301,3071,13352611
109,Andaman & Nicobar,2020,3,744205,2991,7535646
110,Andaman & Nicobar,2020,4,744103,46884,138264792
111,Andaman & Nicobar,2020,4,744101,40392,136401368
112,Andaman & Nicobar,2020,4,744105,34410,87838227
113,Andaman & Nicobar,2020,4,744102,26694,76348598
114,Andaman & Nicobar,2020,4,744202,10949,25543799
115,Andaman & Nicobar,2020,4,744107,9743,18083250
116,Andaman & Nicobar,2020,4,744104,7654,19126096
117,Andaman & Nicobar,2020,4,744112,7016,15890275
118,Andaman & Nicobar,2020,4,744205,5118,12002695
119,Andaman & Nicobar,2020,4,744201,5011,6777276
120,Andaman & Nicobar,2021,1,744101,55726,190830957
121,Andaman & Nicobar,2021,1,744103,47328,158404101
122,Andaman & Nicobar,2021,1,744105,35467,111571687
123,Andaman & Nicobar,2021,1,744102,23957,80750049
124,Andaman & Nicobar,2021,1,744211,10648,34956328
125,Andaman & Nicobar,2021,1,744202,10597,28127630
126,Andaman & Nicobar,2021,1,744107,8848,19627951
127,Andaman & Nicobar,2021,1,744104,8799,27854307
128,Andaman & Nicobar,2021,1,744112,7113,21084790
129,Andaman & Nicobar,2021,1,744301,5630,22671937
130,Andaman & Nicobar,2021,2,744101,73334,227585493
131,Andaman & Nicobar,2021,2,744103,66321,174752815
132,Andaman & Nicobar,2021,2,744105,52645,134835744
133,Andaman & Nicobar,2021,2,744102,34289,100890427
134,Andaman & Nicobar,2021,2,744202,16476,40647908
135,Andaman & Nicobar,2021,2,744107,14524,24690582
136,Andaman & Nicobar,2021,2,744104,11278,28333852
137,Andaman & Nicobar,2021,2,744211,10182,20377949
138,Andaman & Nicobar,2021,2,744112,9635,21637658
139,Andaman & Nicobar,2021,2,744301,8463,27666837
140,Andaman & Nicobar,2021,3,744101,116324,388328169
141,Andaman & Nicobar,2021,3,744103,84790,246433386
142,Andaman & Nicobar,2021,3,744105,67257,185238368
143,Andaman & Nicobar,2021,3,744102,43850,131239564
144,Andaman & Nicobar,2021,3,744202,19088,48475164
145,Andaman & Nicobar,2021,3,744107,16203,37962312
146,Andaman & Nicobar,2021,3,744104,14657,35301326
147,Andaman & Nicobar,2021,3,744112,11565,28491554
148,Andaman & Nicobar,2021,3,744301,11553,43464511
149,Andaman & Nicobar,2021,3,744211,9655,19497765
150,Andaman & Nicobar,2021,4,744101,165719,533026208
151,Andaman & Nicobar,2021,4,744103,121613,372243734
152,Andaman & Nicobar,2021,4,744105,95028,281223412
153,Andaman & Nicobar,2021,4,744102,58258,174623253
154,Andaman & Nicobar,2021,4,744211,27938,94222862
155,Andaman & Nicobar,2021,4,744104,25662,69245386
156,Andaman & Nicobar,2021,4,744202,21913,67790798
157,Andaman & Nicobar,2021,4,744107,21397,52036030
158,Andaman & Nicobar,2021,4,744112,18915,55448543
159,Andaman & Nicobar,2021,4,744301,14553,47792331
160,Andaman & Nicobar,2022,1,744101,209941,615978081
161,Andaman & Nicobar,2022,1,744103,157230,399715980
162,Andaman & Nicobar,2022,1,744105,122716,321850609
163,Andaman & Nicobar,2022,1,744102,74883,193336550
164,Andaman & Nicobar,2022,1,744104,32471,72915522
165,Andaman & Nicobar,2022,1,744211,30272,86955571
166,Andaman & Nicobar,2022,1,744107,25379,58776728
167,Andaman & Nicobar,2022,1,744202,24022,68519269
168,Andaman & Nicobar,2022,1,744112,23471,55469784
169,Andaman & Nicobar,2022,1,744301,17630,56879992
170,Andaman & Nicobar,2022,2,744101,252722,702122365
171,Andaman & Nicobar,2022,2,744103,230746,561168776
172,Andaman & Nicobar,2022,2,744105,176252,415796517
173,Andaman & Nicobar,2022,2,744102,101551,240451609
174,Andaman & Nicobar,2022,2,744104,47069,94335358
175,Andaman & Nicobar,2022,2,744211,40245,108788595
176,Andaman & Nicobar,2022,2,744107,36402,82851065
177,Andaman & Nicobar,2022,2,744112,32548,70178309
178,Andaman & Nicobar,2022,2,744202,27750,84587979
179,Andaman & Nicobar,2022,2,744301,26170,74485463
180,Andaman & Nicobar,2022,3,744104,497273,951370315
181,Andaman & Nicobar,2022,3,744103,259994,545653686
182,Andaman & Nicobar,2022,3,744101,213864,444967256
183,Andaman & Nicobar,2022,3,744105,208055,438754612
184,Andaman & Nicobar,2022,3,744102,114416,239581587
185,Andaman & Nicobar,2022,3,744107,40466,85492008
186,Andaman & Nicobar,2022,3,744112,38350,74030563
187,Andaman & Nicobar,2022,3,744211,37918,89671382
188,Andaman & Nicobar,2022,3,744202,29918,85509006
189,Andaman & Nicobar,2022,3,744301,27668,70002553
190,Andaman & Nicobar,2022,4,744104,684366,1309407988
191,Andaman & Nicobar,2022,4,744103,304600,612929267
192,Andaman & Nicobar,2022,4,744105,258097,505662756
193,Andaman & Nicobar,2022,4,744101,243494,467192496
194,Andaman & Nicobar,2022,4,744102,134923,264371700
195,Andaman & Nicobar,2022,4,744211,56491,137253268
196,Andaman & Nicobar,2022,4,744107,54192,104539818
197,Andaman & Nicobar,2022,4,744112,46364,82461782
198,Andaman & Nicobar,2022,4,744202,34689,94217165
199,Andaman & Nicobar,2022,4,744301,33669,82466591
200,Andaman & Nicobar,2023,1,744103,503053,969594706
201,Andaman & Nicobar,2023,1,744105,418090,774570559
202,Andaman & Nicobar,2023,1,744101,403456,749508057
203,Andaman & Nicobar,2023,1,744102,222855,427240840
204,Andaman & Nicobar,2023,1,744104,118286,201531285
205,Andaman & Nicobar,2023,1,744211,107424,263885620
206,Andaman & Nicobar,2023,1,744107,92715,168098531
207,Andaman & Nicobar,2023,1,744112,76246,131598911
208,Andaman & Nicobar,2023,1,744202,59440,165959850
209,Andaman & Nicobar,2023,1,744301,55605,111713635
210,Andaman & Nicobar,2023,2,744103,597774,1119274409
211,Andaman & Nicobar,2023,2,744105,507585,916209552
212,Andaman & Nicobar,2023,2,744101,486154,824857096
213,Andaman & Nicobar,2023,2,744102,269165,458977445
214,Andaman & Nicobar,2023,2,744104,134785,205244167
215,Andaman & Nicobar,2023,2,744107,114795,194986633
216,Andaman & Nicobar,2023,2,744211,106510,222510323
217,Andaman & Nicobar,2023,2,744112,89784,147571191
218,Andaman & Nicobar,2023,2,744202,72315,211302035
219,Andaman & Nicobar,2023,2,744301,63841,134197959
220,Andaman & Nicobar,2023,3,744103,697625,1158992204
221,Andaman & Nicobar,2023,3,744105,594280,962825309
222,Andaman & Nicobar,2023,3,744101,561910,880223225
223,Andaman & Nicobar,2023,3,744102,301979,500512890
224,Andaman & Nicobar,2023,3,744104,144283,201467258
225,Andaman & Nicobar,2023,3,744107,126430,192271794
226,Andaman & Nicobar,2023,3,744211,122188,205773943
227,Andaman & Nicobar,2023,3,744112,102093,142609621
228,Andaman & Nicobar,2023,3,744202,81233,229651761
229,Andaman & Nicobar,2023,3,744301,72307,142757567
230,Andaman & Nicobar,2023,4,744103,817988,1376084403
231,Andaman & Nicobar,2023,4,744105,687868,1111327351
232,Andaman & Nicobar,2023,4,744101,665217,1030639279
233,Andaman & Nicobar,2023,4,744102,343773,550517935
234,Andaman & Nicobar,2023,4,744211,208914,434254474
235,Andaman & Nicobar,2023,4,744104,180753,276651786
236,Andaman & Nicobar,2023,4,744107,150575,215238085
237,Andaman & Nicobar,2023,4,744112,121589,178498997
238,Andaman & Nicobar,2023,4,744301,92294,197278662
239,Andaman & Nicobar,2023,4,744202,91113,233493969
240,Andaman & Nicobar,2024,1,744103,915265,1466185445
241,Andaman & Nicobar,2024,1,744105,788690,1238176536
242,Andaman & Nicobar,2024,1,744101,729163,1111938725
243,Andaman & Nicobar,2024,1,744102,410733,635568629
244,Andaman & Nicobar,2024,1,744211,242702,502855645
245,Andaman & Nicobar,2024,1,744104,198252,287097896
246,Andaman & Nicobar,2024,1,744107,175286,238542585
247,Andaman & Nicobar,2024,1,744112,136050,198931121
248,Andaman & Nicobar,2024,1,744202,110787,274596943
249,Andaman & Nicobar,2024,1,744301,96150,182352308
250,Andhra Pradesh,2018,1,517501,110496,163487279
251,Andhra Pradesh,2018,1,520001,96883,170605901
252,Andhra Pradesh,2018,1,515001,92754,133522311
253,Andhra Pradesh,2018,1,517507,88132,127450018
254,Andhra Pradesh,2018,1,516001,84644,131194266
255,Andhra Pradesh,2018,1,518502,82421,68040306
256,Andhra Pradesh,2018,1,530016,81891,140880970
257,Andhra Pradesh,2018,1,520010,69581,119009922
258,Andhra Pradesh,2018,1,516360,68340,101612119
259,Andhra Pradesh,2018,1,518501,68193,81006513
260,Andhra Pradesh,2018,2,517501,165506,305629373
261,Andhra Pradesh,2018,2,518502,140893,127814124
262,Andhra Pradesh,2018,2,515001,129798,285924994
263,Andhra Pradesh,2018,2,517507,127731,243405278
264,Andhra Pradesh,2018,2,520001,123176,271911611
265,Andhra Pradesh,2018,2,516001,114806,242175478
266,Andhra Pradesh,2018,2,530016,111874,235770318
267,Andhra Pradesh,2018,2,520010,100630,220730390
268,Andhra Pradesh,2018,2,516360,96619,197068814
269,Andhra Pradesh,2018,2,518501,93442,163942778
270,Andhra Pradesh,2018,3,518502,1300146,709765830
271,Andhra Pradesh,2018,3,533437,421968,240766495
272,Andhra Pradesh,2018,3,518501,296154,291247919
273,Andhra Pradesh,2018,3,517501,295403,466133619
274,Andhra Pradesh,2018,3,515001,276595,438158383
275,Andhra Pradesh,2018,3,530016,234494,380410223
276,Andhra Pradesh,2018,3,517507,233347,386563859
277,Andhra Pradesh,2018,3,516259,220165,109844219
278,Andhra Pradesh,2018,3,520011,213275,291805923
279,Andhra Pradesh,2018,3,520001,206435,371140000
280,Andhra Pradesh,2018,4,518502,441662,332201263
281,Andhra Pradesh,2018,4,517501,423357,714887920
282,Andhra Pradesh,2018,4,530016,367619,575982481
283,Andhra Pradesh,2018,4,515001,355695,651952971
284,Andhra Pradesh,2018,4,517507,318300,594747982
285,Andhra Pradesh,2018,4,530003,277131,356075794
286,Andhra Pradesh,2018,4,516001,269798,572252390
287,Andhra Pradesh,2018,4,520010,250261,492229977
288,Andhra Pradesh,2018,4,530017,248725,326891429
289,Andhra Pradesh,2018,4,518501,248520,357423402
290,Andhra Pradesh,2019,1,530001,950821,1529039458
291,Andhra Pradesh,2019,1,517501,922416,1244725311
292,Andhra Pradesh,2019,1,520001,814616,1462807206
293,Andhra Pradesh,2019,1,530016,684611,960022482
294,Andhra Pradesh,2019,1,517507,671661,1009128525
295,Andhra Pradesh,2019,1,515001,609682,1009938284
296,Andhra Pradesh,2019,1,518502,545426,389782597
297,Andhra Pradesh,2019,1,530003,527667,590799503
298,Andhra Pradesh,2019,1,530017,472914,531596256
299,Andhra Pradesh,2019,1,520010,460133,774931063
300,Andhra Pradesh,2019,2,530001,2602865,5218795716
301,Andhra Pradesh,2019,2,520001,1828617,3823390190
302,Andhra Pradesh,2019,2,517501,949187,1669949939
303,Andhra Pradesh,2019,2,522001,839909,1759418776
304,Andhra Pradesh,2019,2,530016,793798,1257915826
305,Andhra Pradesh,2019,2,517507,760335,1412863012
306,Andhra Pradesh,2019,2,515001,567306,1282118916
307,Andhra Pradesh,2019,2,530003,520142,718170914
308,Andhra Pradesh,2019,2,520010,490697,973983825
309,Andhra Pradesh,2019,2,530017,480905,650710126
310,Andhra Pradesh,2019,3,530001,2944756,6693257654
311,Andhra Pradesh,2019,3,520001,1905190,4414503366
312,Andhra Pradesh,2019,3,517501,1434209,2203932856
313,Andhra Pradesh,2019,3,530016,1196020,1658162549
314,Andhra Pradesh,2019,3,517507,1060513,1854927352
315,Andhra Pradesh,2019,3,522001,1003916,2216532549
316,Andhra Pradesh,2019,3,515001,868052,1667826832
317,Andhra Pradesh,2019,3,530003,858005,970993081
318,Andhra Pradesh,2019,3,530017,799271,911939243
319,Andhra Pradesh,2019,3,530026,711726,1095056836
320,Andhra Pradesh,2019,4,530001,4185063,9160387223
321,Andhra Pradesh,2019,4,520001,2544877,5933007157
322,Andhra Pradesh,2019,4,517501,1920211,3073084030
323,Andhra Pradesh,2019,4,530016,1591033,2295184224
324,Andhra Pradesh,2019,4,530026,1438154,2509394596
325,Andhra Pradesh,2019,4,517507,1406768,2478459133
326,Andhra Pradesh,2019,4,522001,1324202,2927313968
327,Andhra Pradesh,2019,4,515001,1202983,2376869517
328,Andhra Pradesh,2019,4,530003,1131832,1339103328
329,Andhra Pradesh,2019,4,530017,1084796,1266927471
330,Andhra Pradesh,2020,1,530026,6695271,15258657487
331,Andhra Pradesh,2020,1,517501,2196548,3731404466
332,Andhra Pradesh,2020,1,530016,1661816,2593325339
333,Andhra Pradesh,2020,1,517507,1554974,2719620696
334,Andhra Pradesh,2020,1,515001,1346804,2696427931
335,Andhra Pradesh,2020,1,530003,1159480,1519955259
336,Andhra Pradesh,2020,1,524002,1125194,2653339804
337,Andhra Pradesh,2020,1,530017,1104748,1412381496
338,Andhra Pradesh,2020,1,520010,1098395,2059547223
339,Andhra Pradesh,2020,1,522001,1058410,2575723775
340,Andhra Pradesh,2020,2,530026,4994637,12817902607
341,Andhra Pradesh,2020,2,517501,1708935,3203679955
342,Andhra Pradesh,2020,2,517507,1575118,2854711069
343,Andhra Pradesh,2020,2,524002,1553283,3993963026
344,Andhra Pradesh,2020,2,530016,1067022,1893629834
345,Andhra Pradesh,2020,2,516001,1066066,2616099329
346,Andhra Pradesh,2020,2,515001,1026587,2447755903
347,Andhra Pradesh,2020,2,518002,979822,2015820866
348,Andhra Pradesh,2020,2,522001,963666,2678051229
349,Andhra Pradesh,2020,2,520002,956641,2767045048
350,Andhra Pradesh,2020,3,524002,5194663,13718743729
351,Andhra Pradesh,2020,3,530026,4159532,10383207818
352,Andhra Pradesh,2020,3,517501,2735691,5544720473
353,Andhra Pradesh,2020,3,516001,2534360,6637577271
354,Andhra Pradesh,2020,3,517507,2306174,4594510974
355,Andhra Pradesh,2020,3,520002,2238996,6543183825
356,Andhra Pradesh,2020,3,530016,1921871,3560898943
357,Andhra Pradesh,2020,3,515001,1669413,4116758527
358,Andhra Pradesh,2020,3,522001,1625687,4701116489
359,Andhra Pradesh,2020,3,518002,1514873,3352462441
360,Andhra Pradesh,2020,4,524002,5029692,12810644736
361,Andhra Pradesh,2020,4,530026,4235146,9849636860
362,Andhra Pradesh,2020,4,517501,4125544,7866883789
363,Andhra Pradesh,2020,4,517507,3420778,6749696776
364,Andhra Pradesh,2020,4,516001,3119905,8005247952
365,Andhra Pradesh,2020,4,530016,2981818,5591062751
366,Andhra Pradesh,2020,4,515001,2821800,6442101737
367,Andhra Pradesh,2020,4,518002,2219953,4809927718
368,Andhra Pradesh,2020,4,520010,2170458,4679865894
369,Andhra Pradesh,2020,4,530017,2027751,3252434513
370,Andhra Pradesh,2021,1,524002,7269657,16698428355
371,Andhra Pradesh,2021,1,530026,5875319,13567044097
372,Andhra Pradesh,2021,1,517501,4354325,8224302893
373,Andhra Pradesh,2021,1,520002,3591058,9183853695
374,Andhra Pradesh,2021,1,517507,3378549,6593121541
375,Andhra Pradesh,2021,1,530016,3144495,5679150412
376,Andhra Pradesh,2021,1,516001,2941623,7434205012
377,Andhra Pradesh,2021,1,515001,2815993,6225481723
378,Andhra Pradesh,2021,1,522001,2584588,6753205747
379,Andhra Pradesh,2021,1,520010,2291676,4716738890
380,Andhra Pradesh,2021,2,524002,11023032,25519404147
381,Andhra Pradesh,2021,2,530026,7850540,19042845773
382,Andhra Pradesh,2021,2,520002,5441708,14948864291
383,Andhra Pradesh,2021,2,517501,4614209,9215678010
384,Andhra Pradesh,2021,2,517507,3834825,7940105016
385,Andhra Pradesh,2021,2,522001,3427039,9832657321
386,Andhra Pradesh,2021,2,515001,3052771,7213837063
387,Andhra Pradesh,2021,2,530016,2892664,5705916881
388,Andhra Pradesh,2021,2,516001,2613562,7256266064
389,Andhra Pradesh,2021,2,518002,2553688,5906664131
390,Andhra Pradesh,2021,3,524002,10701326,23300508691
391,Andhra Pradesh,2021,3,530026,9780096,22841763578
392,Andhra Pradesh,2021,3,517501,5982442,11419848822
393,Andhra Pradesh,2021,3,520002,5320101,14633600592
394,Andhra Pradesh,2021,3,517507,4866065,9768221618
395,Andhra Pradesh,2021,3,522001,4242875,11355623169
396,Andhra Pradesh,2021,3,530016,4177023,7797927714
397,Andhra Pradesh,2021,3,515001,4040160,8752025049
398,Andhra Pradesh,2021,3,516001,3370675,8720115499
399,Andhra Pradesh,2021,3,520010,3206301,6832329072
400,Andhra Pradesh,2021,4,524002,14158439,30358274591
401,Andhra Pradesh,2021,4,530026,10216678,24428085477
402,Andhra Pradesh,2021,4,517501,7246667,13514835187
403,Andhra Pradesh,2021,4,517507,5790910,11415016234
404,Andhra Pradesh,2021,4,520002,5716025,15397268124
405,Andhra Pradesh,2021,4,530016,5252680,9484946023
406,Andhra Pradesh,2021,4,522001,4989759,13298088500
407,Andhra Pradesh,2021,4,515001,4892740,10235401678
408,Andhra Pradesh,2021,4,520010,4198904,8551737728
409,Andhra Pradesh,2021,4,516001,4058071,10324818012
410,Andhra Pradesh,2022,1,524002,16133298,35123754551
411,Andhra Pradesh,2022,1,530026,10293117,25355928766
412,Andhra Pradesh,2022,1,517501,8062447,14807178133
413,Andhra Pradesh,2022,1,517507,6660899,12913687867
414,Andhra Pradesh,2022,1,520002,6254668,16297042494
415,Andhra Pradesh,2022,1,522001,5691035,15226428278
416,Andhra Pradesh,2022,1,515001,5585462,11393585212
417,Andhra Pradesh,2022,1,530016,5554647,9991176892
418,Andhra Pradesh,2022,1,516001,4513789,11365056780
419,Andhra Pradesh,2022,1,520010,4492155,9108501442
420,Andhra Pradesh,2022,2,524002,18822839,40556750378
421,Andhra Pradesh,2022,2,530026,12256092,29600523030
422,Andhra Pradesh,2022,2,517501,9320394,17071503296
423,Andhra Pradesh,2022,2,517507,7667416,14863715365
424,Andhra Pradesh,2022,2,520002,7584902,19447767872
425,Andhra Pradesh,2022,2,530016,6470271,11522114399
426,Andhra Pradesh,2022,2,515001,6291639,12847256630
427,Andhra Pradesh,2022,2,522001,6073875,16041957320
428,Andhra Pradesh,2022,2,520010,5301338,10747157086
429,Andhra Pradesh,2022,2,516001,4927880,12452111308
430,Andhra Pradesh,2022,3,530026,10427710,24452749355
431,Andhra Pradesh,2022,3,517501,9028550,16685152652
432,Andhra Pradesh,2022,3,517507,7638906,14893051969
433,Andhra Pradesh,2022,3,524002,6897466,17798259712
434,Andhra Pradesh,2022,3,522001,6608575,14799455202
435,Andhra Pradesh,2022,3,520002,6370783,17359205739
436,Andhra Pradesh,2022,3,530016,6352195,11280121650
437,Andhra Pradesh,2022,3,515001,6120942,12350133591
438,Andhra Pradesh,2022,3,520010,5372903,10801020195
439,Andhra Pradesh,2022,3,516001,5350632,13517253500
440,Andhra Pradesh,2022,4,530026,10249750,23326515678
441,Andhra Pradesh,2022,4,517501,9601016,17160601029
442,Andhra Pradesh,2022,4,517507,8255182,15452889827
443,Andhra Pradesh,2022,4,530016,6770365,11575693177
444,Andhra Pradesh,2022,4,515001,6566772,12647557282
445,Andhra Pradesh,2022,4,522001,6419773,13879436431
446,Andhra Pradesh,2022,4,520010,5887349,11108836640
447,Andhra Pradesh,2022,4,518002,5810257,12488419884
448,Andhra Pradesh,2022,4,520002,5685286,14883019280
449,Andhra Pradesh,2022,4,516001,5545373,13027211099
450,Andhra Pradesh,2023,1,517501,15726677,25326343019
451,Andhra Pradesh,2023,1,517507,14231038,24727126661
452,Andhra Pradesh,2023,1,530016,11205270,18608492919
453,Andhra Pradesh,2023,1,515001,11202633,20163905001
454,Andhra Pradesh,2023,1,520010,9654796,17557392337
455,Andhra Pradesh,2023,1,518002,8884834,16390389002
456,Andhra Pradesh,2023,1,516001,8730141,19045859096
457,Andhra Pradesh,2023,1,520011,8055364,14095375533
458,Andhra Pradesh,2023,1,520007,7967416,15216553606
459,Andhra Pradesh,2023,1,530026,7954047,13507938696
460,Andhra Pradesh,2023,2,517501,17533692,27847769343
461,Andhra Pradesh,2023,2,517507,16071649,27735983775
462,Andhra Pradesh,2023,2,530016,12677134,20503632033
463,Andhra Pradesh,2023,2,515001,12455688,22351199564
464,Andhra Pradesh,2023,2,520010,10965771,19535374795
465,Andhra Pradesh,2023,2,518002,9897206,18254635605
466,Andhra Pradesh,2023,2,516001,9681752,21118300896
467,Andhra Pradesh,2023,2,520011,9241075,15629118550
468,Andhra Pradesh,2023,2,520007,9092492,17011522677
469,Andhra Pradesh,2023,2,530026,8876516,14619851366
470,Andhra Pradesh,2023,3,517501,19950308,30481660225
471,Andhra Pradesh,2023,3,517507,18601251,30773975506
472,Andhra Pradesh,2023,3,530016,14464077,22560828048
473,Andhra Pradesh,2023,3,515001,14092751,23787806856
474,Andhra Pradesh,2023,3,520010,12583902,21578557371
475,Andhra Pradesh,2023,3,518002,11433335,19448338656
476,Andhra Pradesh,2023,3,516001,11173043,22836561775
477,Andhra Pradesh,2023,3,520011,10750550,17171820378
478,Andhra Pradesh,2023,3,520007,10452102,18289265117
479,Andhra Pradesh,2023,3,530026,10339712,15999035746
480,Andhra Pradesh,2023,4,517501,20947807,31651864587
481,Andhra Pradesh,2023,4,517507,19563362,31704706880
482,Andhra Pradesh,2023,4,515001,15058936,24656474833
483,Andhra Pradesh,2023,4,530016,14807835,22908401482
484,Andhra Pradesh,2023,4,520010,13194498,22073842410
485,Andhra Pradesh,2023,4,518002,12622748,20976834312
486,Andhra Pradesh,2023,4,516001,12291648,23977992414
487,Andhra Pradesh,2023,4,520011,11506163,18122767533
488,Andhra Pradesh,2023,4,520007,11138627,19087862152
489,Andhra Pradesh,2023,4,530026,10776659,16712123451
490,Andhra Pradesh,2024,1,517501,22460833,32476323911
491,Andhra Pradesh,2024,1,517507,21155088,32810583577
492,Andhra Pradesh,2024,1,515001,15780104,24793022275
493,Andhra Pradesh,2024,1,530016,15216493,23101693785
494,Andhra Pradesh,2024,1,518002,13579522,21708522175
