,State,Year,Quater,User_brand,User_count,User_percentage
94,Andaman & Nicobar,2020,1,Huawei,891,3.14
95,Andaman & Nicobar,2020,1,Apple,735,2.59
96,Andaman & Nicobar,2020,1,Motorola,715,2.52
97,Andaman & Nicobar,2020,1,Lenovo,500,1.76
98,Andaman & Nicobar,2020,1,Others,2257,7.96
99,Andaman & Nicobar,2020,2,Xiaomi,7805,23.86
100,Andaman & Nicobar,2020,2,Vivo,7122,21.77
101,Andaman & Nicobar,2020,2,Samsung,6030,18.43
102,Andaman & Nicobar,2020,2,Oppo,2976,9.10
103,Andaman & Nicobar,2020,2,Realme,1761,5.38
104,Andaman & Nicobar,2020,2,OnePlus,1271,3.89
105,Andaman & Nicobar,2020,2,Huawei,1005,3.07
106,Andaman & Nicobar,2020,2,Apple,792,2.42
107,Andaman & Nicobar,2020,2,Motorola,779,2.38
108,Andaman & Nicobar,2020,2,Lenovo,552,1.69
109,Andaman & Nicobar,2020,2,Others,2617,8.00
110,Andaman & Nicobar,2020,3,Xiaomi,9794,23.69
111,Andaman & Nicobar,2020,3,Vivo,9556,23.12
112,Andaman & Nicobar,2020,3,Samsung,7572,18.32
113,Andaman & Nicobar,2020,3,Oppo,3730,9.02
114,Andaman & Nicobar,2020,3,Realme,2285,5.53
115,Andaman & Nicobar,2020,3,OnePlus,1440,3.48
116,Andaman & Nicobar,2020,3,Huawei,1213,2.93
117,Andaman & Nicobar,2020,3,Motorola,907,2.19
118,Andaman & Nicobar,2020,3,Apple,870,2.10
119,Andaman & Nicobar,2020,3,Lenovo,606,1.47
120,Andaman & Nicobar,2020,3,Others,3362,8.13
121,Andaman & Nicobar,2020,4,Xiaomi,12398,23.66
122,Andaman & Nicobar,2020,4,Vivo,12275,23.43
123,Andaman & Nicobar,2020,4,Samsung,9938,18.97
124,Andaman & Nicobar,2020,4,Oppo,4723,9.01
125,Andaman & Nicobar,2020,4,Realme,2996,5.72
126,Andaman & Nicobar,2020,4,OnePlus,1638,3.13
127,Andaman & Nicobar,2020,4,Huawei,1472,2.81
128,Andaman & Nicobar,2020,4,Motorola,1032,1.97
129,Andaman & Nicobar,2020,4,Apple,973,1.86
130,Andaman & Nicobar,2020,4,Lenovo,708,1.35
131,Andaman & Nicobar,2020,4,Others,4243,8.10
132,Andaman & Nicobar,2021,1,Vivo,13812,23.91
133,Andaman & Nicobar,2021,1,Xiaomi,13714,23.74
134,Andaman & Nicobar,2021,1,Samsung,10861,18.80
135,Andaman & Nicobar,2021,1,Oppo,5158,8.93
136,Andaman & Nicobar,2021,1,Realme,3419,5.92
137,Andaman & Nicobar,2021,1,OnePlus,1773,3.07
138,Andaman & Nicobar,2021,1,Huawei,1575,2.73
139,Andaman & Nicobar,2021,1,Motorola,1062,1.84
140,Andaman & Nicobar,2021,1,Apple,1056,1.83
141,Andaman & Nicobar,2021,1,Tecno,796,1.38
142,Andaman & Nicobar,2021,1,Others,4532,7.85
143,Andaman & Nicobar,2021,2,Vivo,15056,24.25
144,Andaman & Nicobar,2021,2,Xiaomi,14788,23.82
145,Andaman & Nicobar,2021,2,Samsung,11476,18.48
146,Andaman & Nicobar,2021,2,Oppo,5456,8.79
147,Andaman & Nicobar,2021,2,Realme,4034,6.50
148,Andaman & Nicobar,2021,2,OnePlus,1981,3.19
149,Andaman & Nicobar,2021,2,Huawei,1559,2.51
150,Andaman & Nicobar,2021,2,Apple,1153,1.86
151,Andaman & Nicobar,2021,2,Motorola,1054,1.70
152,Andaman & Nicobar,2021,2,Tecno,974,1.57
153,Andaman & Nicobar,2021,2,Others,4564,7.35
154,Andaman & Nicobar,2021,3,Vivo,16411,24.50
155,Andaman & Nicobar,2021,3,Xiaomi,15938,23.79
156,Andaman & Nicobar,2021,3,Samsung,12028,17.96
157,Andaman & Nicobar,2021,3,Oppo,5853,8.74
