,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
86,Andaman & Nicobar,2022,2,Peer-to-peer payments,437606,2088309073
87,Andaman & Nicobar,2022,2,Recharge & bill payments,179515,82232937
88,Andaman & Nicobar,2022,2,Financial Services,1448,2089862
89,Andaman & Nicobar,2022,2,Others,3108,2449497
90,Andaman & Nicobar,2022,3,Merchant payments,716105,693438186
91,Andaman & Nicobar,2022,3,Peer-to-peer payments,622217,2514535155
92,Andaman & Nicobar,2022,3,Recharge & bill payments,240766,97748066
93,Andaman & Nicobar,2022,3,Financial Services,1814,2166305
94,Andaman & Nicobar,2022,3,Others,3477,2744061
95,Andaman & Nicobar,2022,4,Merchant payments,956536,906365301
96,Andaman & Nicobar,2022,4,Peer-to-peer payments,768758,2961630585
97,Andaman & Nicobar,2022,4,Recharge & bill payments,256050,110037120
98,Andaman & Nicobar,2022,4,Financial Services,2499,3533987
99,Andaman & Nicobar,2022,4,Others,3692,3107412
100,Andaman & Nicobar,2023,1,Merchant payments,1122063,1008821751
101,Andaman & Nicobar,2023,1,Peer-to-peer payments,862347,3299762230
102,Andaman & Nicobar,2023,1,Recharge & bill payments,286024,146338470
103,Andaman & Nicobar,2023,1,Financial Services,2515,3556954
104,Andaman & Nicobar,2023,1,Others,3443,3049182
105,Andaman & Nicobar,2023,2,Merchant payments,1410653,1159905474
106,Andaman & Nicobar,2023,2,Peer-to-peer payments,970525,3664415887
107,Andaman & Nicobar,2023,2,Recharge & bill payments,320922,158455723
108,Andaman & Nicobar,2023,2,Financial Services,2158,4161814
109,Andaman & Nicobar,2023,2,Others,3517,3405338
110,Andaman & Nicobar,2023,3,Merchant payments,1657848,1289780198
111,Andaman & Nicobar,2023,3,Peer-to-peer payments,1111211,3757627272
112,Andaman & Nicobar,2023,3,Recharge & bill payments,323935,157992380
113,Andaman & Nicobar,2023,3,Financial Services,2199,3850023
114,Andaman & Nicobar,2023,3,Others,3183,2346918
115,Andaman & Nicobar,2023,4,Merchant payments,2039888,1653303276
116,Andaman & Nicobar,2023,4,Peer-to-peer payments,1321796,4420459049
117,Andaman & Nicobar,2023,4,Recharge & bill payments,327460,185028400
118,Andaman & Nicobar,2023,4,Financial Services,3276,7836466
119,Andaman & Nicobar,2023,4,Others,3363,2925308
120,Andaman & Nicobar,2024,1,Merchant payments,2401038,1887811915
121,Andaman & Nicobar,2024,1,Peer-to-peer payments,1436380,4771886847
122,Andaman & Nicobar,2024,1,Recharge & bill payments,341224,188939343
123,Andaman & Nicobar,2024,1,Financial Services,3761,7962745
124,Andaman & Nicobar,2024,1,Others,2517,2550985
125,Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293976
126,Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283
127,Andhra Pradesh,2018,1,Merchant payments,362672,247297640
128,Andhra Pradesh,2018,1,Financial Services,204305,44808450
129,Andhra Pradesh,2018,1,Others,395514,287626043
130,Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488
131,Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493099
132,Andhra Pradesh,2018,2,Merchant payments,604847,436785224
133,Andhra Pradesh,2018,2,Financial Services,225621,68952115
134,Andhra Pradesh,2018,2,Others,322063,328092347
135,Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630445
136,Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098147
137,Andhra Pradesh,2018,3,Merchant payments,1225416,685277255
138,Andhra Pradesh,2018,3,Financial Services,380324,60790078
139,Andhra Pradesh,2018,3,Others,348725,284248676
140,Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726
141,Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314
142,Andhra Pradesh,2018,4,Merchant payments,2622131,1671585889
143,Andhra Pradesh,2018,4,Financial Services,400837,57178116
144,Andhra Pradesh,2018,4,Others,389411,315211361
145,Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742
