,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
835,Chhattisgarh,2022,2,Merchant payments,61093916,41536371584
836,Chhattisgarh,2022,2,Peer-to-peer payments,42532112,1.33535E+11
837,Chhattisgarh,2022,2,Recharge & bill payments,12737942,5949415520
838,Chhattisgarh,2022,2,Financial Services,41530,46037703
839,Chhattisgarh,2022,2,Others,178548,114905118
840,Chhattisgarh,2022,3,Merchant payments,84355775,50874051122
841,Chhattisgarh,2022,3,Peer-to-peer payments,57116149,1.61027E+11
842,Chhattisgarh,2022,3,Recharge & bill payments,16538894,8069941553
843,Chhattisgarh,2022,3,Financial Services,55775,61881710
844,Chhattisgarh,2022,3,Others,185994,128469269
845,Chhattisgarh,2022,4,Merchant payments,97405954,60247141798
846,Chhattisgarh,2022,4,Peer-to-peer payments,63986789,1.83673E+11
847,Chhattisgarh,2022,4,Recharge & bill payments,16324117,8376603987
848,Chhattisgarh,2022,4,Financial Services,63695,81169069
849,Chhattisgarh,2022,4,Others,179891,141385263
850,Chhattisgarh,2023,1,Merchant payments,115821237,68619935279
851,Chhattisgarh,2023,1,Peer-to-peer payments,76752033,2.21083E+11
852,Chhattisgarh,2023,1,Recharge & bill payments,21896029,11162940453
853,Chhattisgarh,2023,1,Financial Services,72038,65398770
854,Chhattisgarh,2023,1,Others,207620,157977952
855,Chhattisgarh,2023,2,Merchant payments,138222517,78172761996
856,Chhattisgarh,2023,2,Peer-to-peer payments,86887081,2.43033E+11
857,Chhattisgarh,2023,2,Recharge & bill payments,24550623,11714283831
858,Chhattisgarh,2023,2,Financial Services,77813,90235297
859,Chhattisgarh,2023,2,Others,193602,146759167
860,Chhattisgarh,2023,3,Merchant payments,161142673,85645642195
861,Chhattisgarh,2023,3,Peer-to-peer payments,97060888,2.51466E+11
862,Chhattisgarh,2023,3,Recharge & bill payments,25011103,13000613447
863,Chhattisgarh,2023,3,Financial Services,95807,131864372
864,Chhattisgarh,2023,3,Others,182186,135322503
865,Chhattisgarh,2023,4,Merchant payments,185440451,1.02326E+11
866,Chhattisgarh,2023,4,Peer-to-peer payments,110795079,2.87453E+11
867,Chhattisgarh,2023,4,Recharge & bill payments,25330600,13898322691
868,Chhattisgarh,2023,4,Financial Services,115404,174278673
869,Chhattisgarh,2023,4,Others,194798,133148269
870,Chhattisgarh,2024,1,Merchant payments,212194065,1.16463E+11
871,Chhattisgarh,2024,1,Peer-to-peer payments,124567252,3.29977E+11
872,Chhattisgarh,2024,1,Recharge & bill payments,29121761,16237500799
873,Chhattisgarh,2024,1,Financial Services,117960,205227725
874,Chhattisgarh,2024,1,Others,175646,127276095
875,Dadra and Nagar Haveli and Daman and Diu,2018,1,Recharge & bill payments,95544,17526370
876,Dadra and Nagar Haveli and Daman and Diu,2018,1,Peer-to-peer payments,44599,151966933
877,Dadra and Nagar Haveli and Daman and Diu,2018,1,Merchant payments,1531,1580763
878,Dadra and Nagar Haveli and Daman and Diu,2018,1,Financial Services,1364,353172
879,Dadra and Nagar Haveli and Daman and Diu,2018,1,Others,5511,4231147
880,Dadra and Nagar Haveli and Daman and Diu,2018,2,Recharge & bill payments,122834,30595592
881,Dadra and Nagar Haveli and Daman and Diu,2018,2,Peer-to-peer payments,69215,261995613
882,Dadra and Nagar Haveli and Daman and Diu,2018,2,Merchant payments,3544,4685536
883,Dadra and Nagar Haveli and Daman and Diu,2018,2,Financial Services,2996,383806
884,Dadra and Nagar Haveli and Daman and Diu,2018,2,Others,4037,4410224
885,Dadra and Nagar Haveli and Daman and Diu,2018,3,Recharge & bill payments,157113,39790820
886,Dadra and Nagar Haveli and Daman and Diu,2018,3,Peer-to-peer payments,119346,396698085
887,Dadra and Nagar Haveli and Daman and Diu,2018,3,Merchant payments,7465,5693605
888,Dadra and Nagar Haveli and Daman and Diu,2018,3,Financial Services,1477,297648
889,Dadra and Nagar Haveli and Daman and Diu,2018,3,Others,4174,5159437
890,Dadra and Nagar Haveli and Daman and Diu,2018,4,Peer-to-peer payments,194214,582082154
891,Dadra and Nagar Haveli and Daman and Diu,2018,4,Recharge & bill payments,185793,49972030
892,Dadra and Nagar Haveli and Daman and Diu,2018,4,Merchant payments,15739,19577328
893,Dadra and Nagar Haveli and Daman and Diu,2018,4,Financial Services,2996,371675
894,Dadra and Nagar Haveli and Daman and Diu,2018,4,Others,5340,6747430
895,Dadra and Nagar Haveli and Daman and Diu,2019,1,Peer-to-peer payments,408465,757657638
896,Dadra and Nagar Haveli and Daman and Diu,2019,1,Recharge & bill payments,225998,62660762
897,Dadra and Nagar Haveli and Daman and Diu,2019,1,Merchant payments,20694,17043868
898,Dadra and Nagar Haveli and Daman and Diu,2019,1,Financial Services,1645,221065
899,Dadra and Nagar Haveli and Daman and Diu,2019,1,Others,5012,5786443
900,Dadra and Nagar Haveli and Daman and Diu,2019,2,Peer-to-peer payments,244134,734034143
901,Dadra and Nagar Haveli and Daman and Diu,2019,2,Recharge & bill payments,198184,63874446
902,Dadra and Nagar Haveli and Daman and Diu,2019,2,Merchant payments,40781,20816136
903,Dadra and Nagar Haveli and Daman and Diu,2019,2,Financial Services,748,155150
904,Dadra and Nagar Haveli and Daman and Diu,2019,2,Others,5809,5561402
905,Dadra and Nagar Haveli and Daman and Diu,2019,3,Recharge & bill payments,319142,104597035
906,Dadra and Nagar Haveli and Daman and Diu,2019,3,Peer-to-peer payments,249944,821178569
907,Dadra and Nagar Haveli and Daman and Diu,2019,3,Merchant payments,63616,30634658
908,Dadra and Nagar Haveli and Daman and Diu,2019,3,Financial Services,533,425044
909,Dadra and Nagar Haveli and Daman and Diu,2019,3,Others,5516,4636167
910,Dadra and Nagar Haveli and Daman and Diu,2019,4,Recharge & bill payments,351819,125809568
911,Dadra and Nagar Haveli and Daman and Diu,2019,4,Peer-to-peer payments,324464,1051976411
912,Dadra and Nagar Haveli and Daman and Diu,2019,4,Merchant payments,86758,45361559
913,Dadra and Nagar Haveli and Daman and Diu,2019,4,Financial Services,1019,267762
914,Dadra and Nagar Haveli and Daman and Diu,2019,4,Others,4911,3225961
915,Dadra and Nagar Haveli and Daman and Diu,2020,1,Recharge & bill payments,407577,153340696
916,Dadra and Nagar Haveli and Daman and Diu,2020,1,Peer-to-peer payments,329005,1119439490
917,Dadra and Nagar Haveli and Daman and Diu,2020,1,Merchant payments,137040,66713357
918,Dadra and Nagar Haveli and Daman and Diu,2020,1,Financial Services,668,418783
919,Dadra and Nagar Haveli and Daman and Diu,2020,1,Others,4289,2851044
920,Dadra and Nagar Haveli and Daman and Diu,2020,2,Recharge & bill payments,525974,178877987
921,Dadra and Nagar Haveli and Daman and Diu,2020,2,Peer-to-peer payments,323909,1052118443
922,Dadra and Nagar Haveli and Daman and Diu,2020,2,Merchant payments,118801,68938501
923,Dadra and Nagar Haveli and Daman and Diu,2020,2,Financial Services,1826,993268
924,Dadra and Nagar Haveli and Daman and Diu,2020,2,Others,2642,1448255
925,Dadra and Nagar Haveli and Daman and Diu,2020,3,Recharge & bill payments,455603,201223380
926,Dadra and Nagar Haveli and Daman and Diu,2020,3,Peer-to-peer payments,419524,1401020928
927,Dadra and Nagar Haveli and Daman and Diu,2020,3,Merchant payments,257572,143497844
928,Dadra and Nagar Haveli and Daman and Diu,2020,3,Financial Services,1635,1778864
929,Dadra and Nagar Haveli and Daman and Diu,2020,3,Others,3978,2268098
930,Dadra and Nagar Haveli and Daman and Diu,2020,4,Peer-to-peer payments,666995,2153786523
931,Dadra and Nagar Haveli and Daman and Diu,2020,4,Merchant payments,631443,316510116
932,Dadra and Nagar Haveli and Daman and Diu,2020,4,Recharge & bill payments,509971,224246670
933,Dadra and Nagar Haveli and Daman and Diu,2020,4,Financial Services,2453,1683960
934,Dadra and Nagar Haveli and Daman and Diu,2020,4,Others,6929,4283833
935,Dadra and Nagar Haveli and Daman and Diu,2021,1,Peer-to-peer payments,768921,2379220756
936,Dadra and Nagar Haveli and Daman and Diu,2021,1,Merchant payments,705821,367522132
937,Dadra and Nagar Haveli and Daman and Diu,2021,1,Recharge & bill payments,442926,213177145
938,Dadra and Nagar Haveli and Daman and Diu,2021,1,Financial Services,2243,1930009
939,Dadra and Nagar Haveli and Daman and Diu,2021,1,Others,5333,3782869
940,Dadra and Nagar Haveli and Daman and Diu,2021,2,Peer-to-peer payments,843550,2512913026
941,Dadra and Nagar Haveli and Daman and Diu,2021,2,Merchant payments,802899,430487474
942,Dadra and Nagar Haveli and Daman and Diu,2021,2,Recharge & bill payments,471136,208762964
943,Dadra and Nagar Haveli and Daman and Diu,2021,2,Financial Services,1826,1763793
944,Dadra and Nagar Haveli and Daman and Diu,2021,2,Others,5672,3741204
945,Dadra and Nagar Haveli and Daman and Diu,2021,3,Merchant payments,1312241,706774072
946,Dadra and Nagar Haveli and Daman and Diu,2021,3,Peer-to-peer payments,1262732,3339347400
947,Dadra and Nagar Haveli and Daman and Diu,2021,3,Recharge & bill payments,544322,253199755
948,Dadra and Nagar Haveli and Daman and Diu,2021,3,Financial Services,2065,2252117
949,Dadra and Nagar Haveli and Daman and Diu,2021,3,Others,8110,4365759
950,Dadra and Nagar Haveli and Daman and Diu,2021,4,Merchant payments,2013673,1058989463
951,Dadra and Nagar Haveli and Daman and Diu,2021,4,Peer-to-peer payments,1577168,4202291072
952,Dadra and Nagar Haveli and Daman and Diu,2021,4,Recharge & bill payments,551618,294991582
953,Dadra and Nagar Haveli and Daman and Diu,2021,4,Financial Services,2909,3159306
954,Dadra and Nagar Haveli and Daman and Diu,2021,4,Others,11717,6407963
955,Dadra and Nagar Haveli and Daman and Diu,2022,1,Merchant payments,2507246,1227972830
956,Dadra and Nagar Haveli and Daman and Diu,2022,1,Peer-to-peer payments,1745454,4674787018
957,Dadra and Nagar Haveli and Daman and Diu,2022,1,Recharge & bill payments,538134,326296371
958,Dadra and Nagar Haveli and Daman and Diu,2022,1,Financial Services,2574,2661346
959,Dadra and Nagar Haveli and Daman and Diu,2022,1,Others,9395,5330804
960,Dadra and Nagar Haveli and Daman and Diu,2022,2,Merchant payments,3346697,1536859131
961,Dadra and Nagar Haveli and Daman and Diu,2022,2,Peer-to-peer payments,1861799,5078832141
962,Dadra and Nagar Haveli and Daman and Diu,2022,2,Recharge & bill payments,539562,372921225
963,Dadra and Nagar Haveli and Daman and Diu,2022,2,Financial Services,1849,2131608
964,Dadra and Nagar Haveli and Daman and Diu,2022,2,Others,9864,4415676
965,Dadra and Nagar Haveli and Daman and Diu,2022,3,Merchant payments,3777156,1705567002
966,Dadra and Nagar Haveli and Daman and Diu,2022,3,Peer-to-peer payments,2086741,5382949598
967,Dadra and Nagar Haveli and Daman and Diu,2022,3,Recharge & bill payments,592431,425206925
968,Dadra and Nagar Haveli and Daman and Diu,2022,3,Financial Services,2237,3194410
969,Dadra and Nagar Haveli and Daman and Diu,2022,3,Others,7056,3729425
970,Dadra and Nagar Haveli and Daman and Diu,2022,4,Merchant payments,4415771,1889046056
971,Dadra and Nagar Haveli and Daman and Diu,2022,4,Peer-to-peer payments,2215052,5737539058
972,Dadra and Nagar Haveli and Daman and Diu,2022,4,Recharge & bill payments,548795,426040023
973,Dadra and Nagar Haveli and Daman and Diu,2022,4,Financial Services,2495,3169199
974,Dadra and Nagar Haveli and Daman and Diu,2022,4,Others,7472,3846409
975,Dadra and Nagar Haveli and Daman and Diu,2023,1,Merchant payments,7184933,2778820380
976,Dadra and Nagar Haveli and Daman and Diu,2023,1,Peer-to-peer payments,3623830,9079653826
977,Dadra and Nagar Haveli and Daman and Diu,2023,1,Recharge & bill payments,979503,746971431
978,Dadra and Nagar Haveli and Daman and Diu,2023,1,Financial Services,3546,2855684
979,Dadra and Nagar Haveli and Daman and Diu,2023,1,Others,12173,5789879
980,Dadra and Nagar Haveli and Daman and Diu,2023,2,Merchant payments,8331573,3135694669
981,Dadra and Nagar Haveli and Daman and Diu,2023,2,Peer-to-peer payments,3962990,9804533561
982,Dadra and Nagar Haveli and Daman and Diu,2023,2,Recharge & bill payments,1046280,800283519
983,Dadra and Nagar Haveli and Daman and Diu,2023,2,Financial Services,3985,4431276
984,Dadra and Nagar Haveli and Daman and Diu,2023,2,Others,12287,5595163
985,Dadra and Nagar Haveli and Daman and Diu,2023,3,Merchant payments,9582597,3564710651
986,Dadra and Nagar Haveli and Daman and Diu,2023,3,Peer-to-peer payments,4630867,10642329946
987,Dadra and Nagar Haveli and Daman and Diu,2023,3,Recharge & bill payments,1139193,878917740
988,Dadra and Nagar Haveli and Daman and Diu,2023,3,Financial Services,5572,5268269
989,Dadra and Nagar Haveli and Daman and Diu,2023,3,Others,12099,4839857
990,Dadra and Nagar Haveli and Daman and Diu,2023,4,Merchant payments,11765508,4318758826
991,Dadra and Nagar Haveli and Daman and Diu,2023,4,Peer-to-peer payments,5347152,12234383845
992,Dadra and Nagar Haveli and Daman and Diu,2023,4,Recharge & bill payments,1169931,991997355
993,Dadra and Nagar Haveli and Daman and Diu,2023,4,Financial Services,5597,7765262
994,Dadra and Nagar Haveli and Daman and Diu,2023,4,Others,14185,5154679
995,Dadra and Nagar Haveli and Daman and Diu,2024,1,Merchant payments,13631073,4791513247
996,Dadra and Nagar Haveli and Daman and Diu,2024,1,Peer-to-peer payments,6113627,13576602170
997,Dadra and Nagar Haveli and Daman and Diu,2024,1,Recharge & bill payments,1353851,1135863865
998,Dadra and Nagar Haveli and Daman and Diu,2024,1,Financial Services,6748,10924778
999,Dadra and Nagar Haveli and Daman and Diu,2024,1,Others,9710,4292265
1000,Delhi,2018,1,Recharge & bill payments,3947297,1320559613
1001,Delhi,2018,1,Peer-to-peer payments,2380820,9125685135
1002,Delhi,2018,1,Merchant payments,339809,375393115
1003,Delhi,2018,1,Financial Services,136240,45588429
1004,Delhi,2018,1,Others,318588,344277515
1005,Delhi,2018,2,Recharge & bill payments,4511737,2078183616
1006,Delhi,2018,2,Peer-to-peer payments,3542716,14348179103
1007,Delhi,2018,2,Merchant payments,837001,631597791
1008,Delhi,2018,2,Financial Services,205991,66584728
1009,Delhi,2018,2,Others,276278,321754664
1010,Delhi,2018,3,Peer-to-peer payments,8557153,22670122889
1011,Delhi,2018,3,Recharge & bill payments,5305635,3261844271
1012,Delhi,2018,3,Merchant payments,3808395,1048422634
1013,Delhi,2018,3,Financial Services,274526,45051151
1014,Delhi,2018,3,Others,601339,350405916
1015,Delhi,2018,4,Peer-to-peer payments,9973249,32389252495
1016,Delhi,2018,4,Merchant payments,9958967,2738429839
1017,Delhi,2018,4,Recharge & bill payments,7483633,3961160543
1018,Delhi,2018,4,Financial Services,265004,58162003
1019,Delhi,2018,4,Others,1506866,575852739
1020,Delhi,2019,1,Peer-to-peer payments,20216287,48250023721
1021,Delhi,2019,1,Merchant payments,13875931,3996618720
1022,Delhi,2019,1,Recharge & bill payments,10744978,5521320539
1023,Delhi,2019,1,Financial Services,223095,30997040
1024,Delhi,2019,1,Others,1947036,670171770
1025,Delhi,2019,2,Merchant payments,20891431,6816878923
1026,Delhi,2019,2,Peer-to-peer payments,20570311,65953571241
1027,Delhi,2019,2,Recharge & bill payments,12869453,8035701902
1028,Delhi,2019,2,Financial Services,137774,33985069
1029,Delhi,2019,2,Others,2702543,866678928
1030,Delhi,2019,3,Merchant payments,29453368,9857221392
1031,Delhi,2019,3,Peer-to-peer payments,25201978,81904443496
1032,Delhi,2019,3,Recharge & bill payments,11133404,10406524193
1033,Delhi,2019,3,Financial Services,92061,27952187
1034,Delhi,2019,3,Others,3657065,1000670778
1035,Delhi,2019,4,Peer-to-peer payments,33040093,1.05859E+11
1036,Delhi,2019,4,Merchant payments,32537378,12864577363
1037,Delhi,2019,4,Recharge & bill payments,11609898,9500486081
1038,Delhi,2019,4,Financial Services,57063,21512528
1039,Delhi,2019,4,Others,3500565,779367300
1040,Delhi,2020,1,Merchant payments,33951545,14470782771
1041,Delhi,2020,1,Peer-to-peer payments,32410795,1.08988E+11
1042,Delhi,2020,1,Recharge & bill payments,12822919,9498791148
1043,Delhi,2020,1,Financial Services,46529,39908838
1044,Delhi,2020,1,Others,2515816,619460879
1045,Delhi,2020,2,Peer-to-peer payments,27155938,86227124454
1046,Delhi,2020,2,Merchant payments,24963931,12708327044
1047,Delhi,2020,2,Recharge & bill payments,13568505,8699886044
1048,Delhi,2020,2,Financial Services,64790,75405868
1049,Delhi,2020,2,Others,288854,162694793
1050,Delhi,2020,3,Peer-to-peer payments,41498638,1.40074E+11
1051,Delhi,2020,3,Merchant payments,40973792,21858176583
1052,Delhi,2020,3,Recharge & bill payments,13448341,12883226305
1053,Delhi,2020,3,Financial Services,85689,114341865
1054,Delhi,2020,3,Others,485401,234194503
1055,Delhi,2020,4,Merchant payments,54581166,31106554563
1056,Delhi,2020,4,Peer-to-peer payments,49631928,1.71546E+11
1057,Delhi,2020,4,Recharge & bill payments,14862946,12921793577
1058,Delhi,2020,4,Financial Services,114862,160007920
1059,Delhi,2020,4,Others,1349515,530676173
1060,Delhi,2021,1,Merchant payments,72615587,39861532639
1061,Delhi,2021,1,Peer-to-peer payments,61957428,2.10824E+11
1062,Delhi,2021,1,Recharge & bill payments,21164274,15447408659
1063,Delhi,2021,1,Financial Services,153039,203106852
1064,Delhi,2021,1,Others,1468676,592745152
1065,Delhi,2021,2,Merchant payments,75620295,42933366743
1066,Delhi,2021,2,Peer-to-peer payments,68497718,2.23035E+11
1067,Delhi,2021,2,Recharge & bill payments,25026678,15310096463
1068,Delhi,2021,2,Financial Services,158170,190019761
1069,Delhi,2021,2,Others,854403,472659189
1070,Delhi,2021,3,Merchant payments,115250887,64006915631
1071,Delhi,2021,3,Peer-to-peer payments,93292876,2.98006E+11
1072,Delhi,2021,3,Recharge & bill payments,28427032,20934734872
1073,Delhi,2021,3,Financial Services,144460,220660990
1074,Delhi,2021,3,Others,1645353,690472449
1075,Delhi,2021,4,Merchant payments,149204611,88990516304
1076,Delhi,2021,4,Peer-to-peer payments,112380292,3.76557E+11
1077,Delhi,2021,4,Recharge & bill payments,30127352,22290161823
1078,Delhi,2021,4,Financial Services,199280,287950130
1079,Delhi,2021,4,Others,771824,569713471
1080,Delhi,2022,1,Merchant payments,174454937,98212381476
1081,Delhi,2022,1,Peer-to-peer payments,125111881,4.15305E+11
1082,Delhi,2022,1,Recharge & bill payments,29435981,22482865573
1083,Delhi,2022,1,Financial Services,195184,271039329
1084,Delhi,2022,1,Others,1801878,693588769
1085,Delhi,2022,2,Merchant payments,233412802,1.21658E+11
1086,Delhi,2022,2,Peer-to-peer payments,143447534,4.80686E+11
1087,Delhi,2022,2,Recharge & bill payments,32971294,26876059610
1088,Delhi,2022,2,Financial Services,160827,209425799
1089,Delhi,2022,2,Others,641727,426563426
1090,Delhi,2022,3,Merchant payments,276635347,1.34293E+11
1091,Delhi,2022,3,Peer-to-peer payments,160580425,5.09429E+11
1092,Delhi,2022,3,Recharge & bill payments,37572389,33177115465
1093,Delhi,2022,3,Financial Services,195218,265479580
1094,Delhi,2022,3,Others,608782,448676466
1095,Delhi,2022,4,Merchant payments,305621913,1.53115E+11
1096,Delhi,2022,4,Peer-to-peer payments,171970100,5.59069E+11
1097,Delhi,2022,4,Recharge & bill payments,36775874,31954251758
1098,Delhi,2022,4,Financial Services,228639,299454653
1099,Delhi,2022,4,Others,606931,477098951
1100,Delhi,2023,1,Merchant payments,246682850,1.16053E+11
1101,Delhi,2023,1,Peer-to-peer payments,135403837,4.60727E+11
1102,Delhi,2023,1,Recharge & bill payments,26976608,33945163887
1103,Delhi,2023,1,Financial Services,206979,275072622
1104,Delhi,2023,1,Others,482829,402484189
1105,Delhi,2023,2,Merchant payments,300493650,1.26928E+11
1106,Delhi,2023,2,Peer-to-peer payments,151909146,4.98879E+11
1107,Delhi,2023,2,Recharge & bill payments,29059235,35251178665
1108,Delhi,2023,2,Financial Services,219538,302441499
1109,Delhi,2023,2,Others,457429,367938784
1110,Delhi,2023,3,Merchant payments,347213404,1.43772E+11
1111,Delhi,2023,3,Peer-to-peer payments,167791074,5.23702E+11
1112,Delhi,2023,3,Recharge & bill payments,31015600,39925428804
1113,Delhi,2023,3,Financial Services,275512,439989766
1114,Delhi,2023,3,Others,411393,360021285
1115,Delhi,2023,4,Merchant payments,381250463,1.68766E+11
1116,Delhi,2023,4,Peer-to-peer payments,185276322,5.88131E+11
1117,Delhi,2023,4,Recharge & bill payments,30903762,41889435437
1118,Delhi,2023,4,Financial Services,317005,501353917
1119,Delhi,2023,4,Others,403194,361276587
1120,Delhi,2024,1,Merchant payments,419098312,1.8339E+11
1121,Delhi,2024,1,Peer-to-peer payments,197330105,6.04446E+11
1122,Delhi,2024,1,Recharge & bill payments,33501160,43595822485
1123,Delhi,2024,1,Financial Services,319041,606216973
1124,Delhi,2024,1,Others,485440,475774396
1125,Goa,2018,1,Recharge & bill payments,85991,18273814
1126,Goa,2018,1,Peer-to-peer payments,59651,268175048
1127,Goa,2018,1,Merchant payments,7880,11036032
1128,Goa,2018,1,Financial Services,1191,520106
1129,Goa,2018,1,Others,6184,5851743
1130,Goa,2018,2,Recharge & bill payments,120943,30994284
1131,Goa,2018,2,Peer-to-peer payments,87878,419492233
1132,Goa,2018,2,Merchant payments,12456,20162856
1133,Goa,2018,2,Financial Services,1903,733429
1134,Goa,2018,2,Others,6395,7221024
1135,Goa,2018,3,Recharge & bill payments,158797,40314973
1136,Goa,2018,3,Peer-to-peer payments,150297,639468418
1137,Goa,2018,3,Merchant payments,21587,26634198
1138,Goa,2018,3,Financial Services,1867,468171
1139,Goa,2018,3,Others,6963,6281209
1140,Goa,2018,4,Peer-to-peer payments,246426,1021902315
1141,Goa,2018,4,Recharge & bill payments,212122,54832856
1142,Goa,2018,4,Merchant payments,45586,66666114
1143,Goa,2018,4,Financial Services,2523,723599
1144,Goa,2018,4,Others,8098,8880194
1145,Goa,2019,1,Peer-to-peer payments,378848,1310759848
1146,Goa,2019,1,Recharge & bill payments,275277,78212835
1147,Goa,2019,1,Merchant payments,74527,75946974
1148,Goa,2019,1,Financial Services,2013,499592
1149,Goa,2019,1,Others,8147,9904148
1150,Goa,2019,2,Peer-to-peer payments,373759,1391933791
1151,Goa,2019,2,Recharge & bill payments,278060,93218689
1152,Goa,2019,2,Merchant payments,104592,92873009
1153,Goa,2019,2,Financial Services,1211,515860
1154,Goa,2019,2,Others,10819,13325755
1155,Goa,2019,3,Peer-to-peer payments,475178,1704668027
1156,Goa,2019,3,Recharge & bill payments,453806,157952855
1157,Goa,2019,3,Merchant payments,150578,123948571
1158,Goa,2019,3,Financial Services,1510,1282345
1159,Goa,2019,3,Others,11344,12515394
1160,Goa,2019,4,Peer-to-peer payments,698728,2484453030
1161,Goa,2019,4,Recharge & bill payments,552421,205602115
1162,Goa,2019,4,Merchant payments,250893,218404665
1163,Goa,2019,4,Financial Services,1497,649713
1164,Goa,2019,4,Others,11733,14350825
1165,Goa,2020,1,Peer-to-peer payments,817198,2851686769
1166,Goa,2020,1,Recharge & bill payments,678079,244739382
1167,Goa,2020,1,Merchant payments,373110,298421548
1168,Goa,2020,1,Financial Services,1762,1816478
1169,Goa,2020,1,Others,11088,13707055
1170,Goa,2020,2,Recharge & bill payments,758617,241196541
1171,Goa,2020,2,Peer-to-peer payments,493326,1766723888
1172,Goa,2020,2,Merchant payments,221358,168591712
1173,Goa,2020,2,Financial Services,3081,3328361
1174,Goa,2020,2,Others,5710,3775928
1175,Goa,2020,3,Peer-to-peer payments,759351,2723430713
1176,Goa,2020,3,Recharge & bill payments,696770,280187505
1177,Goa,2020,3,Merchant payments,446880,353193881
1178,Goa,2020,3,Financial Services,4985,6418950
1179,Goa,2020,3,Others,7545,5112531
1180,Goa,2020,4,Peer-to-peer payments,1550251,5407626413
1181,Goa,2020,4,Merchant payments,1389834,1123844213
1182,Goa,2020,4,Recharge & bill payments,839199,345088772
1183,Goa,2020,4,Financial Services,7287,10386560
1184,Goa,2020,4,Others,14810,12846789
1185,Goa,2021,1,Peer-to-peer payments,2235456,7553384653
1186,Goa,2021,1,Merchant payments,2195509,1768358977
1187,Goa,2021,1,Recharge & bill payments,880682,410604193
1188,Goa,2021,1,Financial Services,8138,12207778
1189,Goa,2021,1,Others,11764,12687278
1190,Goa,2021,2,Merchant payments,1869384,1411529034
1191,Goa,2021,2,Peer-to-peer payments,1866837,6195032351
1192,Goa,2021,2,Recharge & bill payments,953219,383804809
1193,Goa,2021,2,Financial Services,8303,12371844
1194,Goa,2021,2,Others,12392,10115549
1195,Goa,2021,3,Merchant payments,2865625,2143135315
1196,Goa,2021,3,Peer-to-peer payments,2560305,7871092673
1197,Goa,2021,3,Recharge & bill payments,1017351,438838003
1198,Goa,2021,3,Financial Services,8337,12943224
1199,Goa,2021,3,Others,16145,12416378
1200,Goa,2021,4,Merchant payments,5474662,4384250603
1201,Goa,2021,4,Peer-to-peer payments,4408822,13618351953
1202,Goa,2021,4,Recharge & bill payments,1170180,585734312
1203,Goa,2021,4,Financial Services,11320,17101085
1204,Goa,2021,4,Others,23775,21819163
1205,Goa,2022,1,Merchant payments,6364271,4682000388
1206,Goa,2022,1,Peer-to-peer payments,4640380,14449830642
1207,Goa,2022,1,Recharge & bill payments,1177071,646403472
1208,Goa,2022,1,Financial Services,11677,17490493
1209,Goa,2022,1,Others,20699,20720408
1210,Goa,2022,2,Merchant payments,7812998,5736211014
1211,Goa,2022,2,Peer-to-peer payments,5097942,16372343177
1212,Goa,2022,2,Recharge & bill payments,1279377,738765635
1213,Goa,2022,2,Financial Services,10666,13192736
1214,Goa,2022,2,Others,15071,12525197
1215,Goa,2022,3,Merchant payments,7595135,5112175255
1216,Goa,2022,3,Peer-to-peer payments,4449008,13780955270
1217,Goa,2022,3,Recharge & bill payments,1122869,657115144
1218,Goa,2022,3,Financial Services,9992,12650738
1219,Goa,2022,3,Others,11683,11368868
1220,Goa,2022,4,Merchant payments,10319138,6739205748
1221,Goa,2022,4,Peer-to-peer payments,5652373,17421974715
1222,Goa,2022,4,Recharge & bill payments,1195865,734121701
1223,Goa,2022,4,Financial Services,12147,15705663
1224,Goa,2022,4,Others,13151,13978544
1225,Goa,2023,1,Merchant payments,14273665,9074816758
1226,Goa,2023,1,Peer-to-peer payments,8071768,24773922296
1227,Goa,2023,1,Recharge & bill payments,1816029,1197558557
1228,Goa,2023,1,Financial Services,16209,32648574
1229,Goa,2023,1,Others,17399,18019590
1230,Goa,2023,2,Merchant payments,15990744,10146039934
1231,Goa,2023,2,Peer-to-peer payments,8589659,26985284919
1232,Goa,2023,2,Recharge & bill payments,1917200,1239783487
1233,Goa,2023,2,Financial Services,17352,25141843
1234,Goa,2023,2,Others,15635,15956760
1235,Goa,2023,3,Merchant payments,16565190,10365884105
1236,Goa,2023,3,Peer-to-peer payments,8489945,25735484138
1237,Goa,2023,3,Recharge & bill payments,1913363,1234664127
1238,Goa,2023,3,Financial Services,17422,26274694
1239,Goa,2023,3,Others,13808,12872910
1240,Goa,2023,4,Merchant payments,21003656,12478698529
1241,Goa,2023,4,Peer-to-peer payments,10430430,30342597216
1242,Goa,2023,4,Recharge & bill payments,1991324,1413113823
1243,Goa,2023,4,Financial Services,20827,38067531
1244,Goa,2023,4,Others,14741,15194458
1245,Goa,2024,1,Merchant payments,22163645,12736252466
1246,Goa,2024,1,Peer-to-peer payments,10729197,31099473803
1247,Goa,2024,1,Recharge & bill payments,2087441,1465885657
1248,Goa,2024,1,Financial Services,20782,37240917
1249,Goa,2024,1,Others,12922,13047417
1250,Gujarat,2018,1,Recharge & bill payments,3691952,878929081
1251,Gujarat,2018,1,Peer-to-peer payments,1738974,6318864760
1252,Gujarat,2018,1,Merchant payments,145436,166036668
1253,Gujarat,2018,1,Financial Services,122117,27986679
1254,Gujarat,2018,1,Others,250296,186165068
