,State,Year,Quarter,district,Transaction_count,Transaction_amount
86,Andhra Pradesh,2018,1,guntur ,815932,1108686589
87,Andhra Pradesh,2018,1,krishna ,863935,1284255180
88,Andhra Pradesh,2018,2,east godavari ,1221677,2168914928
89,Andhra Pradesh,2018,2,srikakulam ,559868,929392017
90,Andhra Pradesh,2018,2,spsr nellore ,780454,1542057934
91,Andhra Pradesh,2018,2,vizianagaram ,529588,811711368
92,Andhra Pradesh,2018,2,visakhapatnam ,1641192,2987853607
93,Andhra Pradesh,2018,2,prakasam ,739991,1571167562
94,Andhra Pradesh,2018,2,anantapur ,937023,1690366079
95,Andhra Pradesh,2018,2,ysr ,690842,1415500368
96,Andhra Pradesh,2018,2,west godavari ,786033,1688025212
97,Andhra Pradesh,2018,2,kurnool ,968439,1531888666
98,Andhra Pradesh,2018,2,chittoor ,1185723,1990419126
99,Andhra Pradesh,2018,2,guntur ,1088101,2108475812
100,Andhra Pradesh,2018,2,krishna ,1224987,2448141593
101,Andhra Pradesh,2018,3,east godavari ,3226907,3551247095
102,Andhra Pradesh,2018,3,srikakulam ,1073883,1318322237
103,Andhra Pradesh,2018,3,spsr nellore ,1308890,2215938596
104,Andhra Pradesh,2018,3,vizianagaram ,970132,1163546007
105,Andhra Pradesh,2018,3,visakhapatnam ,3394576,4821892253
106,Andhra Pradesh,2018,3,prakasam ,1319651,2346453445
107,Andhra Pradesh,2018,3,anantapur ,1815215,2681787750
108,Andhra Pradesh,2018,3,ysr ,1557444,2235904512
109,Andhra Pradesh,2018,3,west godavari ,1431282,2309078493
110,Andhra Pradesh,2018,3,kurnool ,2921189,2908389262
111,Andhra Pradesh,2018,3,chittoor ,2297429,3283517631
112,Andhra Pradesh,2018,3,guntur ,1912529,3127764663
113,Andhra Pradesh,2018,3,krishna ,2396934,3754202654
114,Andhra Pradesh,2018,4,east godavari ,3052762,4652624623
115,Andhra Pradesh,2018,4,srikakulam ,1252807,1870278610
116,Andhra Pradesh,2018,4,spsr nellore ,1814997,3293448557
117,Andhra Pradesh,2018,4,vizianagaram ,1386787,1817673253
118,Andhra Pradesh,2018,4,visakhapatnam ,4791421,7366635865
119,Andhra Pradesh,2018,4,prakasam ,1692862,3255254226
120,Andhra Pradesh,2018,4,anantapur ,2286391,3975878156
121,Andhra Pradesh,2018,4,ysr ,1732527,3252340063
122,Andhra Pradesh,2018,4,west godavari ,1688482,3237504255
123,Andhra Pradesh,2018,4,kurnool ,2508530,3626544852
124,Andhra Pradesh,2018,4,chittoor ,3166201,4979093890
125,Andhra Pradesh,2018,4,guntur ,2546620,4730251218
126,Andhra Pradesh,2018,4,krishna ,2839161,5416251838
127,Andhra Pradesh,2019,1,east godavari ,5440146,7382264725
128,Andhra Pradesh,2019,1,srikakulam ,2526855,3407912878
129,Andhra Pradesh,2019,1,spsr nellore ,3333584,5161932216
130,Andhra Pradesh,2019,1,vizianagaram ,2798241,3364576948
131,Andhra Pradesh,2019,1,visakhapatnam ,9690866,13459857441
132,Andhra Pradesh,2019,1,prakasam ,2931081,4807527779
133,Andhra Pradesh,2019,1,anantapur ,3891336,6044730653
134,Andhra Pradesh,2019,1,ysr ,2852197,4915811594
135,Andhra Pradesh,2019,1,west godavari ,2829437,4623764455
136,Andhra Pradesh,2019,1,kurnool ,4193432,5541564893
