,State,Year,Quarter,district,Transaction_count,Transaction_amount
1638,Assam,2022,3,dima hasao ,288848,678521295
1639,Assam,2022,3,baksa ,994859,2149845146
1640,Assam,2022,3,charaideo ,653536,1267458929
1641,Assam,2022,3,darrang ,1805090,3233214493
1642,Assam,2022,3,kamrup metropolitan ,39606017,69410860235
1643,Assam,2022,3,hailakandi ,1560929,2991549160
1644,Assam,2022,3,barpeta ,4561028,9149960686
1645,Assam,2022,3,goalpara ,2054687,4590076568
1646,Assam,2022,3,biswanath ,668091,1279949512
1647,Assam,2022,3,jorhat ,2264530,3694675387
1648,Assam,2022,4,tinsukia ,1847473,3636219480
1649,Assam,2022,4,lakhimpur ,1397791,2505469639
1650,Assam,2022,4,kamrup ,3473735,6488564510
1651,Assam,2022,4,kokrajhar ,1249751,2609828653
1652,Assam,2022,4,karbi anglong ,1030879,2189719280
1653,Assam,2022,4,sivasagar ,883421,1544157685
1654,Assam,2022,4,dibrugarh ,2781759,4540236249
1655,Assam,2022,4,south salmara mancachar ,763570,1935371794
1656,Assam,2022,4,nagaon ,3466436,7442294883
1657,Assam,2022,4,dhubri ,2801543,5696918774
1658,Assam,2022,4,golaghat ,1247652,2348259382
1659,Assam,2022,4,udalguri ,1048339,1929847430
1660,Assam,2022,4,majuli ,170716,264376861
1661,Assam,2022,4,sonitpur ,3570910,5955878582
1662,Assam,2022,4,hojai ,1188838,2311470243
1663,Assam,2022,4,marigaon ,1732867,3678892463
1664,Assam,2022,4,chirang ,763852,1640747076
1665,Assam,2022,4,cachar ,3169492,6146128033
1666,Assam,2022,4,nalbari ,956563,1913556550
1667,Assam,2022,4,west karbi anglong ,139542,264423911
1668,Assam,2022,4,dhemaji ,913590,1749366722
1669,Assam,2022,4,karimganj ,1635099,3857130937
1670,Assam,2022,4,bongaigaon ,2301942,4663672961
1671,Assam,2022,4,dima hasao ,323049,753858279
1672,Assam,2022,4,baksa ,1159058,2539432688
1673,Assam,2022,4,charaideo ,620063,1222334993
1674,Assam,2022,4,darrang ,1903379,3947924967
1675,Assam,2022,4,kamrup metropolitan ,48873033,84183380553
1676,Assam,2022,4,hailakandi ,1179854,2307448482
1677,Assam,2022,4,barpeta ,5914147,12025232757
1678,Assam,2022,4,goalpara ,2471469,5401152298
1679,Assam,2022,4,biswanath ,770207,1431848172
1680,Assam,2022,4,jorhat ,2231248,3528373898
1681,Assam,2023,1,tinsukia ,3283559,6117150816
1682,Assam,2023,1,lakhimpur ,2476912,4343543762
1683,Assam,2023,1,kamrup ,4930296,9371100434
1684,Assam,2023,1,kokrajhar ,2355923,4909355126
1685,Assam,2023,1,karbi anglong ,1520698,3214908329
1686,Assam,2023,1,sivasagar ,1570623,2672941443
1687,Assam,2023,1,dibrugarh ,3760225,5608974753
1688,Assam,2023,1,south salmara mancachar ,1508825,4356922804
1689,Assam,2023,1,nagaon ,6685799,14229904732
1690,Assam,2023,1,dhubri ,4783556,10188898480
1691,Assam,2023,1,golaghat ,2224582,4026121612
1692,Assam,2023,1,udalguri ,1639335,2999218033
1693,Assam,2023,1,majuli ,252765,402870909
1694,Assam,2023,1,sonitpur ,5085643,8045533285
1695,Assam,2023,1,hojai ,2133438,4081301237
1696,Assam,2023,1,marigaon ,3358524,7072156482
1697,Assam,2023,1,chirang ,1227227,2669479936
1698,Assam,2023,1,cachar ,5638260,10760387455
1699,Assam,2023,1,nalbari ,1785728,3606569741
1700,Assam,2023,1,west karbi anglong ,258669,468615052
1701,Assam,2023,1,dhemaji ,1628726,3039266504
1702,Assam,2023,1,karimganj ,3129397,7345868143
1703,Assam,2023,1,bongaigaon ,3402608,7240422273
1704,Assam,2023,1,dima hasao ,567000,1214015609
1705,Assam,2023,1,baksa ,2190401,4845776221
1706,Assam,2023,1,charaideo ,853791,1628619134
1707,Assam,2023,1,darrang ,3615988,7158735706
1708,Assam,2023,1,kamrup metropolitan ,22957420,32177527551
1709,Assam,2023,1,hailakandi ,2046225,4019608832
1710,Assam,2023,1,barpeta ,8607360,18729528128
1711,Assam,2023,1,goalpara ,4337423,9833497403
1712,Assam,2023,1,biswanath ,1384589,2345159408
1713,Assam,2023,1,jorhat ,2559123,3630187754
1714,Assam,2023,2,tinsukia ,3851912,6507525643
1715,Assam,2023,2,lakhimpur ,3057549,4876785629
1716,Assam,2023,2,kamrup ,6019583,10319507492
1717,Assam,2023,2,kokrajhar ,2949625,5758367366
1718,Assam,2023,2,karbi anglong ,1815628,3451464394
1719,Assam,2023,2,sivasagar ,1832171,2802402072
1720,Assam,2023,2,dibrugarh ,4515459,6339612450
1721,Assam,2023,2,south salmara mancachar ,1921183,4781401468
1722,Assam,2023,2,nagaon ,8290774,15933295314
1723,Assam,2023,2,dhubri ,5998987,11652162342
1724,Assam,2023,2,golaghat ,2685300,4365734962
1725,Assam,2023,2,udalguri ,2017515,3369067037
1726,Assam,2023,2,majuli ,298852,464620442
1727,Assam,2023,2,sonitpur ,6079471,9155763527
1728,Assam,2023,2,hojai ,2650538,4575809166
1729,Assam,2023,2,marigaon ,4122001,7831746623
1730,Assam,2023,2,chirang ,1562965,3117726249
1731,Assam,2023,2,cachar ,6593914,11304410610
1732,Assam,2023,2,nalbari ,2194760,4095366006
1733,Assam,2023,2,west karbi anglong ,321867,543268673
1734,Assam,2023,2,dhemaji ,1933305,3385291207
1735,Assam,2023,2,karimganj ,3708403,7737482765
1736,Assam,2023,2,bongaigaon ,4272392,8015507557
1737,Assam,2023,2,dima hasao ,723783,1412966285
1738,Assam,2023,2,baksa ,2577080,5238071690
1739,Assam,2023,2,charaideo ,1046404,1748795643
1740,Assam,2023,2,darrang ,4517036,7943501699
1741,Assam,2023,2,kamrup metropolitan ,27633429,36066525702
1742,Assam,2023,2,hailakandi ,2438411,4219916209
1743,Assam,2023,2,barpeta ,10582441,20577968723
1744,Assam,2023,2,goalpara ,5347770,10755879893
1745,Assam,2023,2,biswanath ,1733270,2748393436
1746,Assam,2023,2,jorhat ,2997175,4014450509
1747,Assam,2023,3,tinsukia ,4565290,6820826177
1748,Assam,2023,3,lakhimpur ,3833961,5023686779
1749,Assam,2023,3,kamrup ,7313093,10800114027
1750,Assam,2023,3,kokrajhar ,3648008,6131660384
1751,Assam,2023,3,karbi anglong ,2100974,3428433363
1752,Assam,2023,3,sivasagar ,2269030,2996906032
1753,Assam,2023,3,dibrugarh ,5328549,6883206756
1754,Assam,2023,3,south salmara mancachar ,2368268,4342293033
1755,Assam,2023,3,nagaon ,9915879,16218655937
1756,Assam,2023,3,dhubri ,7727555,12038352780
1757,Assam,2023,3,golaghat ,3265899,4649877887
1758,Assam,2023,3,udalguri ,2471832,3540229495
1759,Assam,2023,3,majuli ,340706,449129036
1760,Assam,2023,3,sonitpur ,7184992,9555385617
1761,Assam,2023,3,hojai ,3173826,4680370231
1762,Assam,2023,3,marigaon ,4800400,7900727989
1763,Assam,2023,3,chirang ,1922041,3200095251
1764,Assam,2023,3,cachar ,8139863,12475988474
1765,Assam,2023,3,nalbari ,2709875,4298403085
1766,Assam,2023,3,west karbi anglong ,382335,541617888
1767,Assam,2023,3,dhemaji ,2320967,3478657621
1768,Assam,2023,3,karimganj ,4518671,8300362452
1769,Assam,2023,3,bongaigaon ,5223464,7992492776
1770,Assam,2023,3,dima hasao ,947489,1716140103
1771,Assam,2023,3,baksa ,3119967,5364907563
1772,Assam,2023,3,charaideo ,1270698,1852693619
1773,Assam,2023,3,darrang ,5522247,8131813482
1774,Assam,2023,3,kamrup metropolitan ,33252533,38969448090
1775,Assam,2023,3,hailakandi ,3011092,4560524135
1776,Assam,2023,3,barpeta ,12553937,19547199120
1777,Assam,2023,3,goalpara ,6726109,10895284121
1778,Assam,2023,3,biswanath ,2089534,2896232915
1779,Assam,2023,3,jorhat ,3556267,4376298184
1780,Assam,2023,4,tinsukia ,5189615,8184084433
1781,Assam,2023,4,lakhimpur ,4361637,5744327705
1782,Assam,2023,4,kamrup ,8424238,12506756486
1783,Assam,2023,4,kokrajhar ,4375333,7312524187
1784,Assam,2023,4,karbi anglong ,2384936,3978867179
1785,Assam,2023,4,sivasagar ,2477201,3302834884
1786,Assam,2023,4,dibrugarh ,5709873,7427295961
1787,Assam,2023,4,south salmara mancachar ,3369894,5570379948
1788,Assam,2023,4,nagaon ,11620054,19063736023
1789,Assam,2023,4,dhubri ,9754250,14883704767
1790,Assam,2023,4,golaghat ,3717221,5294439139
1791,Assam,2023,4,udalguri ,2834860,4179265292
1792,Assam,2023,4,majuli ,403623,518586023
1793,Assam,2023,4,sonitpur ,8050113,10777430093
1794,Assam,2023,4,hojai ,3670224,5300845947
1795,Assam,2023,4,marigaon ,5808139,9705402781
1796,Assam,2023,4,chirang ,2347804,3982679017
1797,Assam,2023,4,cachar ,9259935,14611571234
1798,Assam,2023,4,nalbari ,3150608,4920016354
1799,Assam,2023,4,west karbi anglong ,446777,637186657
1800,Assam,2023,4,dhemaji ,2640683,4011663237
1801,Assam,2023,4,karimganj ,5198477,9636448211
1802,Assam,2023,4,bongaigaon ,6225825,9640983542
1803,Assam,2023,4,dima hasao ,1098602,1968322313
1804,Assam,2023,4,baksa ,3620536,6383786882
1805,Assam,2023,4,charaideo ,1415059,2105854470
1806,Assam,2023,4,darrang ,6735425,10599716369
1807,Assam,2023,4,kamrup metropolitan ,35741066,42066992122
1808,Assam,2023,4,hailakandi ,3536974,5805638439
1809,Assam,2023,4,barpeta ,15365058,23767852973
1810,Assam,2023,4,goalpara ,8585082,13668435884
1811,Assam,2023,4,biswanath ,2448926,3309626551
1812,Assam,2023,4,jorhat ,3784109,4736381828
1813,Assam,2024,1,tinsukia ,5550247,8644251817
1814,Assam,2024,1,lakhimpur ,4902457,6318881902
1815,Assam,2024,1,kamrup ,9838598,14690113788
1816,Assam,2024,1,kokrajhar ,5186611,8290319960
1817,Assam,2024,1,karbi anglong ,2642472,4219129847
1818,Assam,2024,1,sivasagar ,2717687,3525865170
1819,Assam,2024,1,dibrugarh ,5918526,7569686833
1820,Assam,2024,1,south salmara mancachar ,4422302,7281381782
1821,Assam,2024,1,nagaon ,13867011,22200039299
1822,Assam,2024,1,dhubri ,12272788,17933300841
1823,Assam,2024,1,golaghat ,4174420,5849983656
1824,Assam,2024,1,udalguri ,3174551,4593023615
1825,Assam,2024,1,majuli ,431401,559995250
1826,Assam,2024,1,sonitpur ,8762274,11543368894
1827,Assam,2024,1,hojai ,4225108,6143520677
1828,Assam,2024,1,marigaon ,6801169,10714731134
1829,Assam,2024,1,chirang ,2783695,4661771980
1830,Assam,2024,1,cachar ,10515083,15918343605
1831,Assam,2024,1,nalbari ,3456500,5414952987
1832,Assam,2024,1,west karbi anglong ,486912,687692284
1833,Assam,2024,1,dhemaji ,2923070,4418125959
1834,Assam,2024,1,karimganj ,6276788,11211072125
1835,Assam,2024,1,bongaigaon ,7673311,11757183235
1836,Assam,2024,1,dima hasao ,1220165,1945653945
1837,Assam,2024,1,baksa ,4160930,7136380339
1838,Assam,2024,1,charaideo ,1530590,2122402178
1839,Assam,2024,1,darrang ,8045981,12414085307
1840,Assam,2024,1,kamrup metropolitan ,37451157,43094133738
1841,Assam,2024,1,hailakandi ,4160640,6161516215
1842,Assam,2024,1,barpeta ,18751526,29325169669
1843,Assam,2024,1,goalpara ,10539700,16606751899
1844,Assam,2024,1,biswanath ,2719000,3417757121
1845,Assam,2024,1,jorhat ,3942386,4813318979
1846,Bihar,2018,1,madhepura ,79822,85073946
1847,Bihar,2018,1,purnia ,132262,139947209
1848,Bihar,2018,1,nalanda ,208901,190613486
1849,Bihar,2018,1,buxar ,61490,56987162
1850,Bihar,2018,1,darbhanga ,217364,224628302
1851,Bihar,2018,1,nawada ,78480,81161592
1852,Bihar,2018,1,jamui ,48226,44565633
1853,Bihar,2018,1,sheikhpura ,20728,23630132
1854,Bihar,2018,1,siwan ,129094,169228976
1855,Bihar,2018,1,muzaffarpur ,388401,394717113
1856,Bihar,2018,1,patna ,1197281,1282492051
1857,Bihar,2018,1,jehanabad ,52401,47274895
1858,Bihar,2018,1,rohtas ,201231,181378995
1859,Bihar,2018,1,begusarai ,134911,130265730
1860,Bihar,2018,1,supaul ,85807,71313091
1861,Bihar,2018,1,sitamarhi ,145625,162281680
1862,Bihar,2018,1,saran ,149786,171839807
1863,Bihar,2018,1,arwal ,31620,27549102
1864,Bihar,2018,1,vaishali ,201678,211794626
1865,Bihar,2018,1,pashchim champaran ,215866,236190497
1866,Bihar,2018,1,gopalganj ,107134,141070591
1867,Bihar,2018,1,lakhisarai ,42937,43611675
1868,Bihar,2018,1,aurangabad ,114354,114737538
1869,Bihar,2018,1,kaimur bhabua ,64493,70110159
1870,Bihar,2018,1,araria ,81597,95184068
1871,Bihar,2018,1,munger ,64639,64455596
1872,Bihar,2018,1,katihar ,138075,129701646
1873,Bihar,2018,1,khagaria ,65892,71955895
1874,Bihar,2018,1,saharsa ,88087,82038820
1875,Bihar,2018,1,bhagalpur ,174456,172905796
1876,Bihar,2018,1,madhubani ,173946,203080851
1877,Bihar,2018,1,kishanganj ,38179,45880790
1878,Bihar,2018,1,gaya ,231873,227470166
1879,Bihar,2018,1,samastipur ,222241,213634125
1880,Bihar,2018,1,banka ,39192,32623796
1881,Bihar,2018,1,purbi champaran ,254643,264192918
1882,Bihar,2018,1,sheohar ,25700,22183883
1883,Bihar,2018,1,bhojpur ,115890,117985837
1884,Bihar,2018,2,madhepura ,128793,257666354
1885,Bihar,2018,2,purnia ,200492,341288206
1886,Bihar,2018,2,nalanda ,306468,368156034
1887,Bihar,2018,2,buxar ,95499,121370124
1888,Bihar,2018,2,darbhanga ,322140,569573310
1889,Bihar,2018,2,nawada ,117582,171877321
1890,Bihar,2018,2,jamui ,73817,105507696
1891,Bihar,2018,2,sheikhpura ,30292,43496026
1892,Bihar,2018,2,siwan ,216997,449888077
1893,Bihar,2018,2,muzaffarpur ,554675,841276318
1894,Bihar,2018,2,patna ,1650942,2328839156
1895,Bihar,2018,2,jehanabad ,76302,94030824
1896,Bihar,2018,2,rohtas ,281535,364889751
1897,Bihar,2018,2,begusarai ,200949,276462421
1898,Bihar,2018,2,supaul ,120248,207587718
1899,Bihar,2018,2,sitamarhi ,207834,327556111
1900,Bihar,2018,2,saran ,261588,474215327
1901,Bihar,2018,2,arwal ,41799,51924030
1902,Bihar,2018,2,vaishali ,316405,471071129
1903,Bihar,2018,2,pashchim champaran ,305553,542379989
1904,Bihar,2018,2,gopalganj ,176783,361155964
1905,Bihar,2018,2,lakhisarai ,63428,79811567
1906,Bihar,2018,2,aurangabad ,166360,242694824
1907,Bihar,2018,2,kaimur bhabua ,95278,133155808
1908,Bihar,2018,2,araria ,144230,340399877
1909,Bihar,2018,2,munger ,104641,135654469
1910,Bihar,2018,2,katihar ,218980,363989213
1911,Bihar,2018,2,khagaria ,107663,171833274
1912,Bihar,2018,2,saharsa ,137218,228422184
1913,Bihar,2018,2,bhagalpur ,265147,373912201
1914,Bihar,2018,2,madhubani ,286112,554829470
1915,Bihar,2018,2,kishanganj ,68492,137867030
1916,Bihar,2018,2,gaya ,324390,438042056
1917,Bihar,2018,2,samastipur ,316985,502582636
1918,Bihar,2018,2,banka ,62184,71579692
1919,Bihar,2018,2,purbi champaran ,373033,650452551
1920,Bihar,2018,2,sheohar ,31877,49770706
1921,Bihar,2018,2,bhojpur ,179667,260921667
1922,Bihar,2018,3,madhepura ,149943,336637864
1923,Bihar,2018,3,purnia ,254555,489478562
1924,Bihar,2018,3,nalanda ,896006,768203890
1925,Bihar,2018,3,buxar ,141186,188136994
1926,Bihar,2018,3,darbhanga ,413648,764466708
1927,Bihar,2018,3,nawada ,209878,289802022
1928,Bihar,2018,3,jamui ,104140,152652365
1929,Bihar,2018,3,sheikhpura ,37393,56373787
1930,Bihar,2018,3,siwan ,272311,538177446
1931,Bihar,2018,3,muzaffarpur ,959708,1265457842
1932,Bihar,2018,3,patna ,3360157,3873142431
1933,Bihar,2018,3,jehanabad ,158009,154263783
1934,Bihar,2018,3,rohtas ,701262,668806719
1935,Bihar,2018,3,begusarai ,226986,368522166
1936,Bihar,2018,3,supaul ,165526,272659476
1937,Bihar,2018,3,sitamarhi ,266426,479856961
1938,Bihar,2018,3,saran ,366520,636933865
1939,Bihar,2018,3,arwal ,78393,92938268
1940,Bihar,2018,3,vaishali ,427385,660314111
1941,Bihar,2018,3,pashchim champaran ,427544,778844053
1942,Bihar,2018,3,gopalganj ,218210,422499144
1943,Bihar,2018,3,lakhisarai ,129690,136115938
1944,Bihar,2018,3,aurangabad ,269704,354055669
1945,Bihar,2018,3,kaimur bhabua ,128090,180251318
1946,Bihar,2018,3,araria ,167608,428450950
1947,Bihar,2018,3,munger ,136515,186691409
1948,Bihar,2018,3,katihar ,252857,513132288
1949,Bihar,2018,3,khagaria ,145602,245267622
1950,Bihar,2018,3,saharsa ,185665,334445151
1951,Bihar,2018,3,bhagalpur ,422204,579615298
1952,Bihar,2018,3,madhubani ,353968,681883537
1953,Bihar,2018,3,kishanganj ,94729,232008457
1954,Bihar,2018,3,gaya ,919453,893929004
1955,Bihar,2018,3,samastipur ,400049,660092786
1956,Bihar,2018,3,banka ,86362,101993249
1957,Bihar,2018,3,purbi champaran ,544285,921447418
1958,Bihar,2018,3,sheohar ,43723,79579549
1959,Bihar,2018,3,bhojpur ,252114,348676281
1960,Bihar,2018,4,madhepura ,206209,482649436
1961,Bihar,2018,4,purnia ,323276,731281593
1962,Bihar,2018,4,nalanda ,666931,846144773
1963,Bihar,2018,4,buxar ,166308,281722828
1964,Bihar,2018,4,darbhanga ,515957,1142706538
1965,Bihar,2018,4,nawada ,225093,417621899
1966,Bihar,2018,4,jamui ,156998,267317791
1967,Bihar,2018,4,sheikhpura ,52160,94354177
1968,Bihar,2018,4,siwan ,366863,813062417
1969,Bihar,2018,4,muzaffarpur ,886640,1682571935
1970,Bihar,2018,4,patna ,3256138,4907266831
1971,Bihar,2018,4,jehanabad ,176508,216771088
1972,Bihar,2018,4,rohtas ,534230,818426212
1973,Bihar,2018,4,begusarai ,326254,570039331
1974,Bihar,2018,4,supaul ,207479,393510177
1975,Bihar,2018,4,sitamarhi ,338316,664456739
1976,Bihar,2018,4,saran ,495166,976827835
1977,Bihar,2018,4,arwal ,94144,128451766
1978,Bihar,2018,4,vaishali ,522642,964760832
1979,Bihar,2018,4,pashchim champaran ,582470,1215256333
1980,Bihar,2018,4,gopalganj ,288486,665355068
1981,Bihar,2018,4,lakhisarai ,115486,181734953
1982,Bihar,2018,4,aurangabad ,345707,535217438
1983,Bihar,2018,4,kaimur bhabua ,175587,291814683
1984,Bihar,2018,4,araria ,224141,643458080
1985,Bihar,2018,4,munger ,173044,283385409
1986,Bihar,2018,4,katihar ,364308,755567035
1987,Bihar,2018,4,khagaria ,175089,336919554
1988,Bihar,2018,4,saharsa ,226972,503942086
1989,Bihar,2018,4,bhagalpur ,460720,770462001
1990,Bihar,2018,4,madhubani ,480479,1055071917
1991,Bihar,2018,4,kishanganj ,130169,375883248
1992,Bihar,2018,4,gaya ,724866,1079658571
1993,Bihar,2018,4,samastipur ,529944,1020002681
1994,Bihar,2018,4,banka ,120661,153837815
1995,Bihar,2018,4,purbi champaran ,732175,1458571864
1996,Bihar,2018,4,sheohar ,57310,111505768
1997,Bihar,2018,4,bhojpur ,307475,560408465
1998,Bihar,2019,1,madhepura ,264883,576254457
1999,Bihar,2019,1,purnia ,432736,880288859
2000,Bihar,2019,1,nalanda ,946010,1077003029
2001,Bihar,2019,1,buxar ,269395,400579206
2002,Bihar,2019,1,darbhanga ,763583,1448771358
2003,Bihar,2019,1,nawada ,358636,558537691
2004,Bihar,2019,1,jamui ,254802,390616872
2005,Bihar,2019,1,sheikhpura ,84957,128265941
2006,Bihar,2019,1,siwan ,551354,1022001680
2007,Bihar,2019,1,muzaffarpur ,1262299,2061506662
2008,Bihar,2019,1,patna ,7894598,11217940482
2009,Bihar,2019,1,jehanabad ,281786,306816679
2010,Bihar,2019,1,rohtas ,879724,1104230103
2011,Bihar,2019,1,begusarai ,456148,695166454
2012,Bihar,2019,1,supaul ,291495,551617489
2013,Bihar,2019,1,sitamarhi ,511026,830161563
2014,Bihar,2019,1,saran ,688941,1194323044
2015,Bihar,2019,1,arwal ,166197,181951883
2016,Bihar,2019,1,vaishali ,749004,1174950626
2017,Bihar,2019,1,pashchim champaran ,938338,1627339577
2018,Bihar,2019,1,gopalganj ,436537,840103897
2019,Bihar,2019,1,lakhisarai ,172050,249104103
2020,Bihar,2019,1,aurangabad ,568106,821609334
2021,Bihar,2019,1,kaimur bhabua ,286810,419488028
2022,Bihar,2019,1,araria ,303436,771182124
2023,Bihar,2019,1,munger ,244480,359390718
2024,Bihar,2019,1,katihar ,545240,978868952
2025,Bihar,2019,1,khagaria ,227052,388654881
2026,Bihar,2019,1,saharsa ,325350,701328047
2027,Bihar,2019,1,bhagalpur ,669334,944495876
2028,Bihar,2019,1,madhubani ,725008,1443743325
2029,Bihar,2019,1,kishanganj ,172840,475097517
2030,Bihar,2019,1,gaya ,1025084,1460009336
2031,Bihar,2019,1,samastipur ,792952,1239854737
2032,Bihar,2019,1,banka ,183133,217589903
2033,Bihar,2019,1,purbi champaran ,1069790,1856147556
2034,Bihar,2019,1,sheohar ,93729,142778198
2035,Bihar,2019,1,bhojpur ,469391,765057326
2036,Bihar,2019,2,madhepura ,249723,707798711
2037,Bihar,2019,2,purnia ,430976,1078967975
2038,Bihar,2019,2,nalanda ,710450,1254625996
2039,Bihar,2019,2,buxar ,231824,475000124
2040,Bihar,2019,2,darbhanga ,727675,1822608072
2041,Bihar,2019,2,nawada ,348121,761867646
2042,Bihar,2019,2,jamui ,273377,595497429
2043,Bihar,2019,2,sheikhpura ,75522,150977915
2044,Bihar,2019,2,siwan ,533899,1255140385
2045,Bihar,2019,2,muzaffarpur ,1260648,2730311714
2046,Bihar,2019,2,patna ,13421445,26125484618
2047,Bihar,2019,2,jehanabad ,209202,370093502
2048,Bihar,2019,2,rohtas ,659316,1290203427
2049,Bihar,2019,2,begusarai ,420369,861135420
2050,Bihar,2019,2,supaul ,261835,621350642
2051,Bihar,2019,2,sitamarhi ,464001,1054440855
2052,Bihar,2019,2,saran ,660816,1511533675
2053,Bihar,2019,2,arwal ,127961,228089175
2054,Bihar,2019,2,vaishali ,706255,1503710720
2055,Bihar,2019,2,pashchim champaran ,754956,1807646307
2056,Bihar,2019,2,gopalganj ,419736,1042999795
2057,Bihar,2019,2,lakhisarai ,140776,288144511
2058,Bihar,2019,2,aurangabad ,466316,1028918813
2059,Bihar,2019,2,kaimur bhabua ,233890,502827066
2060,Bihar,2019,2,araria ,275976,848688676
2061,Bihar,2019,2,munger ,225552,434455543
2062,Bihar,2019,2,katihar ,500894,1262216432
2063,Bihar,2019,2,khagaria ,211775,474324786
2064,Bihar,2019,2,saharsa ,309217,777991635
2065,Bihar,2019,2,bhagalpur ,615040,1150904188
2066,Bihar,2019,2,madhubani ,689839,1830248521
2067,Bihar,2019,2,kishanganj ,172899,551086091
2068,Bihar,2019,2,gaya ,919937,1718017779
2069,Bihar,2019,2,samastipur ,659872,1446039768
2070,Bihar,2019,2,banka ,149782,265207653
2071,Bihar,2019,2,purbi champaran ,937122,2207821270
2072,Bihar,2019,2,sheohar ,77989,173885487
2073,Bihar,2019,2,bhojpur ,425496,922175961
2074,Bihar,2019,3,madhepura ,285255,739372429
2075,Bihar,2019,3,purnia ,538629,1275466657
2076,Bihar,2019,3,nalanda ,734808,1272371591
2077,Bihar,2019,3,buxar ,233814,437029985
2078,Bihar,2019,3,darbhanga ,802970,1893397262
2079,Bihar,2019,3,nawada ,372689,810703743
2080,Bihar,2019,3,jamui ,293099,629177160
2081,Bihar,2019,3,sheikhpura ,74944,150326593
2082,Bihar,2019,3,siwan ,609065,1237987049
2083,Bihar,2019,3,muzaffarpur ,1526447,2988596104
2084,Bihar,2019,3,patna ,13404838,29128507191
2085,Bihar,2019,3,jehanabad ,215894,348008740
2086,Bihar,2019,3,rohtas ,637472,1189129970
2087,Bihar,2019,3,begusarai ,486249,950089935
2088,Bihar,2019,3,supaul ,303444,702060185
2089,Bihar,2019,3,sitamarhi ,515053,1195168691
2090,Bihar,2019,3,saran ,768342,1481370487
2091,Bihar,2019,3,arwal ,129870,205282509
2092,Bihar,2019,3,vaishali ,835929,1574270005
2093,Bihar,2019,3,pashchim champaran ,794590,1810006587
2094,Bihar,2019,3,gopalganj ,492551,1040012341
2095,Bihar,2019,3,lakhisarai ,166181,301418674
2096,Bihar,2019,3,aurangabad ,489823,976700580
2097,Bihar,2019,3,kaimur bhabua ,223817,430488299
2098,Bihar,2019,3,araria ,337253,991970413
2099,Bihar,2019,3,munger ,284046,462815661
2100,Bihar,2019,3,katihar ,605697,1365069712
2101,Bihar,2019,3,khagaria ,267467,508683170
2102,Bihar,2019,3,saharsa ,364988,859959131
2103,Bihar,2019,3,bhagalpur ,666207,1192702909
2104,Bihar,2019,3,madhubani ,732727,1815165090
2105,Bihar,2019,3,kishanganj ,212575,605260944
2106,Bihar,2019,3,gaya ,1275920,1904955491
2107,Bihar,2019,3,samastipur ,725863,1503897790
2108,Bihar,2019,3,banka ,168148,282598675
2109,Bihar,2019,3,purbi champaran ,1028626,2348550131
2110,Bihar,2019,3,sheohar ,83755,185572591
2111,Bihar,2019,3,bhojpur ,450855,898638782
2112,Bihar,2019,4,madhepura ,395526,1113340861
2113,Bihar,2019,4,purnia ,735598,1873193948
2114,Bihar,2019,4,nalanda ,1426896,1803708281
2115,Bihar,2019,4,buxar ,361937,672103503
2116,Bihar,2019,4,darbhanga ,1059279,2585981570
2117,Bihar,2019,4,nawada ,547595,1167043567
2118,Bihar,2019,4,jamui ,407483,905118756
2119,Bihar,2019,4,sheikhpura ,124377,225016147
2120,Bihar,2019,4,siwan ,865806,1926229487
2121,Bihar,2019,4,muzaffarpur ,1900732,4136536726
2122,Bihar,2019,4,patna ,17235243,37707384361
2123,Bihar,2019,4,jehanabad ,343084,501279185
2124,Bihar,2019,4,rohtas ,1129246,1764430308
2125,Bihar,2019,4,begusarai ,687513,1400383169
2126,Bihar,2019,4,supaul ,418643,1026480093
2127,Bihar,2019,4,sitamarhi ,686989,1556217974
2128,Bihar,2019,4,saran ,1039542,2265346427
2129,Bihar,2019,4,arwal ,207671,302520118
2130,Bihar,2019,4,vaishali ,1092261,2283531751
2131,Bihar,2019,4,pashchim champaran ,1130965,2726720274
2132,Bihar,2019,4,gopalganj ,650123,1570634886
2133,Bihar,2019,4,lakhisarai ,254456,472346956
2134,Bihar,2019,4,aurangabad ,751614,1434726641
2135,Bihar,2019,4,kaimur bhabua ,333727,644719192
2136,Bihar,2019,4,araria ,462746,1410655861
2137,Bihar,2019,4,munger ,353666,657222419
2138,Bihar,2019,4,katihar ,772131,1876729627
2139,Bihar,2019,4,khagaria ,344043,784039610
2140,Bihar,2019,4,saharsa ,495346,1211669207
2141,Bihar,2019,4,bhagalpur ,914156,1720136936
2142,Bihar,2019,4,madhubani ,1038907,2655204864
2143,Bihar,2019,4,kishanganj ,279243,840550915
2144,Bihar,2019,4,gaya ,1627240,2505031785
2145,Bihar,2019,4,samastipur ,995634,2217497574
2146,Bihar,2019,4,banka ,241765,424522416
2147,Bihar,2019,4,purbi champaran ,1432859,3375935182
2148,Bihar,2019,4,sheohar ,120327,266342850
2149,Bihar,2019,4,bhojpur ,665945,1302893151
2150,Bihar,2020,1,madhepura ,480526,1364725314
2151,Bihar,2020,1,purnia ,893061,2167563282
2152,Bihar,2020,1,nalanda ,1053570,2072042821
2153,Bihar,2020,1,buxar ,388504,827738992
2154,Bihar,2020,1,darbhanga ,1296525,3181062830
2155,Bihar,2020,1,nawada ,529218,1196256748
2156,Bihar,2020,1,jamui ,394536,865572635
