,State,Year,Quarter,district,registeredUsers,appOpens
3456,Chhattisgarh,2023,4,surguja ,267755,20807630
3457,Chhattisgarh,2023,4,dantewada ,78612,5003301
3458,Chhattisgarh,2023,4,gariyaband ,112313,9568918
3459,Chhattisgarh,2023,4,durg ,863802,35781322
3460,Chhattisgarh,2023,4,rajnandgaon ,359246,28778515
3461,Chhattisgarh,2023,4,raipur ,1407537,96962040
3462,Chhattisgarh,2023,4,narayanpur ,31413,2581451
3463,Chhattisgarh,2023,4,kanker ,183033,12440036
3464,Chhattisgarh,2023,4,korea ,174532,11322922
3465,Chhattisgarh,2023,4,mungeli ,126582,10916185
3466,Chhattisgarh,2023,4,bilaspur ,729941,47329844
3467,Chhattisgarh,2023,4,balrampur ,137822,15369727
3468,Chhattisgarh,2023,4,bijapur ,64355,3182658
3469,Chhattisgarh,2023,4,bemetara ,161344,12116213
3470,Chhattisgarh,2023,4,bastar ,194070,17832127
3471,Chhattisgarh,2023,4,kondagaon ,106147,8833388
3472,Chhattisgarh,2023,4,mahasamund ,252583,17091714
3473,Chhattisgarh,2024,1,dhamtari ,195666,29368847
3474,Chhattisgarh,2024,1,korba ,450305,65679283
3475,Chhattisgarh,2024,1,surajpur ,182929,73598181
3476,Chhattisgarh,2024,1,baloda bazar ,334412,40959396
3477,Chhattisgarh,2024,1,sukma ,57265,22962090
3478,Chhattisgarh,2024,1,raigarh ,575592,66083055
3479,Chhattisgarh,2024,1,janjgir champa ,560679,20538475
3480,Chhattisgarh,2024,1,jashpur ,188309,72040773
3481,Chhattisgarh,2024,1,balod ,197698,16845658
3482,Chhattisgarh,2024,1,kabirdham ,182942,37319630
3483,Chhattisgarh,2024,1,surguja ,278856,68176885
3484,Chhattisgarh,2024,1,dantewada ,82069,19898896
3485,Chhattisgarh,2024,1,gariyaband ,117351,39067449
3486,Chhattisgarh,2024,1,durg ,897874,20388763
3487,Chhattisgarh,2024,1,rajnandgaon ,374946,72393431
3488,Chhattisgarh,2024,1,raipur ,1462871,56323121
3489,Chhattisgarh,2024,1,narayanpur ,32773,15175397
3490,Chhattisgarh,2024,1,kanker ,191312,72444890
3491,Chhattisgarh,2024,1,korea ,181963,72350967
3492,Chhattisgarh,2024,1,mungeli ,132207,28375275
3493,Chhattisgarh,2024,1,bilaspur ,759420,57213847
3494,Chhattisgarh,2024,1,balrampur ,144136,98245750
3495,Chhattisgarh,2024,1,bijapur ,67170,19019024
3496,Chhattisgarh,2024,1,bemetara ,168545,32368865
3497,Chhattisgarh,2024,1,bastar ,202314,77015005
3498,Chhattisgarh,2024,1,kondagaon ,110929,51848299
3499,Chhattisgarh,2024,1,mahasamund ,263607,45250180
3500,Dadra and Nagar Haveli and Daman and Diu,2018,1,diu ,2553,0
3501,Dadra and Nagar Haveli and Daman and Diu,2018,1,daman ,18677,0
3502,Dadra and Nagar Haveli and Daman and Diu,2018,1,dadra and nagar haveli ,32028,0
3503,Dadra and Nagar Haveli and Daman and Diu,2018,2,diu ,3229,0
3504,Dadra and Nagar Haveli and Daman and Diu,2018,2,daman ,25144,0
3505,Dadra and Nagar Haveli and Daman and Diu,2018,2,dadra and nagar haveli ,43085,0
3506,Dadra and Nagar Haveli and Daman and Diu,2018,3,diu ,3830,0
3507,Dadra and Nagar Haveli and Daman and Diu,2018,3,daman ,32651,0
3508,Dadra and Nagar Haveli and Daman and Diu,2018,3,dadra and nagar haveli ,55626,0
3509,Dadra and Nagar Haveli and Daman and Diu,2018,4,diu ,4609,0
3510,Dadra and Nagar Haveli and Daman and Diu,2018,4,daman ,42069,0
3511,Dadra and Nagar Haveli and Daman and Diu,2018,4,dadra and nagar haveli ,69833,0
3512,Dadra and Nagar Haveli and Daman and Diu,2019,1,diu ,5452,0
3513,Dadra and Nagar Haveli and Daman and Diu,2019,1,daman ,51093,0
3514,Dadra and Nagar Haveli and Daman and Diu,2019,1,dadra and nagar haveli ,83987,0
3515,Dadra and Nagar Haveli and Daman and Diu,2019,2,diu ,6193,22979
3516,Dadra and Nagar Haveli and Daman and Diu,2019,2,daman ,58005,323345
3517,Dadra and Nagar Haveli and Daman and Diu,2019,2,dadra and nagar haveli ,94382,514362
3518,Dadra and Nagar Haveli and Daman and Diu,2019,3,diu ,6746,73017
3519,Dadra and Nagar Haveli and Daman and Diu,2019,3,daman ,64854,1168620
3520,Dadra and Nagar Haveli and Daman and Diu,2019,3,dadra and nagar haveli ,105329,1884552
3521,Dadra and Nagar Haveli and Daman and Diu,2019,4,diu ,7323,91107
3522,Dadra and Nagar Haveli and Daman and Diu,2019,4,daman ,72470,1415107
3523,Dadra and Nagar Haveli and Daman and Diu,2019,4,dadra and nagar haveli ,117805,2264329
3524,Dadra and Nagar Haveli and Daman and Diu,2020,1,diu ,7912,98466
3525,Dadra and Nagar Haveli and Daman and Diu,2020,1,daman ,80329,1550484
3526,Dadra and Nagar Haveli and Daman and Diu,2020,1,dadra and nagar haveli ,130255,2546172
3527,Dadra and Nagar Haveli and Daman and Diu,2020,2,diu ,8795,90682
3528,Dadra and Nagar Haveli and Daman and Diu,2020,2,daman ,90016,1640768
3529,Dadra and Nagar Haveli and Daman and Diu,2020,2,dadra and nagar haveli ,146003,2773677
3530,Dadra and Nagar Haveli and Daman and Diu,2020,3,diu ,9655,102606
3531,Dadra and Nagar Haveli and Daman and Diu,2020,3,daman ,98108,1480490
3532,Dadra and Nagar Haveli and Daman and Diu,2020,3,dadra and nagar haveli ,160183,2838403
3533,Dadra and Nagar Haveli and Daman and Diu,2020,4,diu ,10550,147153
3534,Dadra and Nagar Haveli and Daman and Diu,2020,4,daman ,108511,2123263
3535,Dadra and Nagar Haveli and Daman and Diu,2020,4,dadra and nagar haveli ,177432,3926020
3536,Dadra and Nagar Haveli and Daman and Diu,2021,1,diu ,11406,156639
3537,Dadra and Nagar Haveli and Daman and Diu,2021,1,daman ,117728,2573284
3538,Dadra and Nagar Haveli and Daman and Diu,2021,1,dadra and nagar haveli ,192262,4572539
3539,Dadra and Nagar Haveli and Daman and Diu,2021,2,diu ,12220,117626
3540,Dadra and Nagar Haveli and Daman and Diu,2021,2,daman ,126258,1622978
3541,Dadra and Nagar Haveli and Daman and Diu,2021,2,dadra and nagar haveli ,206516,3322379
3542,Dadra and Nagar Haveli and Daman and Diu,2021,3,diu ,13167,181641
3543,Dadra and Nagar Haveli and Daman and Diu,2021,3,daman ,135976,2278101
3544,Dadra and Nagar Haveli and Daman and Diu,2021,3,dadra and nagar haveli ,222731,4702992
3545,Dadra and Nagar Haveli and Daman and Diu,2021,4,diu ,14047,295151
3546,Dadra and Nagar Haveli and Daman and Diu,2021,4,daman ,145806,5114006
3547,Dadra and Nagar Haveli and Daman and Diu,2021,4,dadra and nagar haveli ,239110,9600298
3548,Dadra and Nagar Haveli and Daman and Diu,2022,1,diu ,14964,143766
3549,Dadra and Nagar Haveli and Daman and Diu,2022,1,daman ,155029,799218
3550,Dadra and Nagar Haveli and Daman and Diu,2022,1,dadra and nagar haveli ,254577,2967808
3551,Dadra and Nagar Haveli and Daman and Diu,2022,2,diu ,15811,229397
3552,Dadra and Nagar Haveli and Daman and Diu,2022,2,daman ,163861,633374
3553,Dadra and Nagar Haveli and Daman and Diu,2022,2,dadra and nagar haveli ,269344,3023521
3554,Dadra and Nagar Haveli and Daman and Diu,2022,3,diu ,16665,180045
3555,Dadra and Nagar Haveli and Daman and Diu,2022,3,daman ,173219,567477
3556,Dadra and Nagar Haveli and Daman and Diu,2022,3,dadra and nagar haveli ,284923,3090359
3557,Dadra and Nagar Haveli and Daman and Diu,2022,4,diu ,17427,445207
3558,Dadra and Nagar Haveli and Daman and Diu,2022,4,daman ,182481,7951596
3559,Dadra and Nagar Haveli and Daman and Diu,2022,4,dadra and nagar haveli ,300217,15669967
3560,Dadra and Nagar Haveli and Daman and Diu,2023,1,diu ,18234,246909
3561,Dadra and Nagar Haveli and Daman and Diu,2023,1,daman ,191432,522235
3562,Dadra and Nagar Haveli and Daman and Diu,2023,1,dadra and nagar haveli ,314951,3702140
3563,Dadra and Nagar Haveli and Daman and Diu,2023,2,diu ,18972,160624
3564,Dadra and Nagar Haveli and Daman and Diu,2023,2,daman ,199267,555514
3565,Dadra and Nagar Haveli and Daman and Diu,2023,2,dadra and nagar haveli ,328125,3369887
3566,Dadra and Nagar Haveli and Daman and Diu,2023,3,diu ,19752,177551
3567,Dadra and Nagar Haveli and Daman and Diu,2023,3,daman ,207437,357209
3568,Dadra and Nagar Haveli and Daman and Diu,2023,3,dadra and nagar haveli ,341846,3914753
3569,Dadra and Nagar Haveli and Daman and Diu,2023,4,diu ,20497,1294301
3570,Dadra and Nagar Haveli and Daman and Diu,2023,4,daman ,215319,13129081
3571,Dadra and Nagar Haveli and Daman and Diu,2023,4,dadra and nagar haveli ,354944,22155996
3572,Dadra and Nagar Haveli and Daman and Diu,2024,1,diu ,21329,52856
3573,Dadra and Nagar Haveli and Daman and Diu,2024,1,daman ,224463,443492
3574,Dadra and Nagar Haveli and Daman and Diu,2024,1,dadra and nagar haveli ,370071,5470752
3575,Delhi,2018,1,south ,156706,0
3576,Delhi,2018,1,central ,202723,0
3577,Delhi,2018,1,new delhi ,212008,0
3578,Delhi,2018,1,west ,308558,0
3579,Delhi,2018,1,south west ,179197,0
3580,Delhi,2018,1,south east delhi ,251213,0
3581,Delhi,2018,1,shahdara ,114549,0
3582,Delhi,2018,1,north east ,95472,0
3583,Delhi,2018,1,east ,169295,0
3584,Delhi,2018,1,north west ,223679,0
3585,Delhi,2018,1,north ,173622,0
3586,Delhi,2018,2,south ,206935,0
3587,Delhi,2018,2,central ,267154,0
3588,Delhi,2018,2,new delhi ,282319,0
3589,Delhi,2018,2,west ,406877,0
3590,Delhi,2018,2,south west ,236789,0
3591,Delhi,2018,2,south east delhi ,333350,0
3592,Delhi,2018,2,shahdara ,152113,0
3593,Delhi,2018,2,north east ,127159,0
3594,Delhi,2018,2,east ,221449,0
3595,Delhi,2018,2,north west ,294038,0
3596,Delhi,2018,2,north ,227958,0
3597,Delhi,2018,3,south ,264628,0
3598,Delhi,2018,3,central ,340549,0
3599,Delhi,2018,3,new delhi ,363140,0
3600,Delhi,2018,3,west ,515854,0
3601,Delhi,2018,3,south west ,297663,0
3602,Delhi,2018,3,south east delhi ,423177,0
3603,Delhi,2018,3,shahdara ,192430,0
3604,Delhi,2018,3,north east ,159566,0
3605,Delhi,2018,3,east ,280847,0
3606,Delhi,2018,3,north west ,376806,0
3607,Delhi,2018,3,north ,290251,0
3608,Delhi,2018,4,south ,344311,0
3609,Delhi,2018,4,central ,446787,0
3610,Delhi,2018,4,new delhi ,470991,0
3611,Delhi,2018,4,west ,686653,0
3612,Delhi,2018,4,south west ,393208,0
3613,Delhi,2018,4,south east delhi ,564640,0
3614,Delhi,2018,4,shahdara ,257785,0
3615,Delhi,2018,4,north east ,216694,0
3616,Delhi,2018,4,east ,373139,0
3617,Delhi,2018,4,north west ,496928,0
3618,Delhi,2018,4,north ,379177,0
3619,Delhi,2019,1,south ,407519,0
3620,Delhi,2019,1,central ,529918,0
3621,Delhi,2019,1,new delhi ,558516,0
3622,Delhi,2019,1,west ,820526,0
3623,Delhi,2019,1,south west ,467571,0
3624,Delhi,2019,1,south east delhi ,671667,0
3625,Delhi,2019,1,shahdara ,310351,0
3626,Delhi,2019,1,north east ,262131,0
3627,Delhi,2019,1,east ,439639,0
3628,Delhi,2019,1,north west ,583438,0
3629,Delhi,2019,1,north ,447987,0
3630,Delhi,2019,2,south ,453829,3600582
3631,Delhi,2019,2,central ,596940,4621588
3632,Delhi,2019,2,new delhi ,637526,4770362
3633,Delhi,2019,2,west ,919096,6019764
3634,Delhi,2019,2,south west ,519422,3366911
3635,Delhi,2019,2,south east delhi ,749218,5600479
3636,Delhi,2019,2,shahdara ,352312,2162335
3637,Delhi,2019,2,north east ,298037,1839705
3638,Delhi,2019,2,east ,487121,3859544
3639,Delhi,2019,2,north west ,649377,4251847
3640,Delhi,2019,2,north ,502570,3638453
3641,Delhi,2019,3,south ,498200,13735093
3642,Delhi,2019,3,central ,658985,18110411
3643,Delhi,2019,3,new delhi ,705546,17907707
3644,Delhi,2019,3,west ,1008836,22146744
3645,Delhi,2019,3,south west ,567496,12320743
3646,Delhi,2019,3,south east delhi ,821304,21257734
3647,Delhi,2019,3,shahdara ,391827,7812781
3648,Delhi,2019,3,north east ,334361,6815269
3649,Delhi,2019,3,east ,532254,14414183
3650,Delhi,2019,3,north west ,709448,15312330
3651,Delhi,2019,3,north ,554029,13548032
3652,Delhi,2019,4,south ,533716,14624629
3653,Delhi,2019,4,central ,711015,19757936
3654,Delhi,2019,4,new delhi ,757888,19347259
3655,Delhi,2019,4,west ,1081496,22958268
3656,Delhi,2019,4,south west ,605482,12908740
3657,Delhi,2019,4,south east delhi ,883080,22762701
3658,Delhi,2019,4,shahdara ,425305,8243112
3659,Delhi,2019,4,north east ,366088,7378000
3660,Delhi,2019,4,east ,568283,15006362
3661,Delhi,2019,4,north west ,758620,15608488
3662,Delhi,2019,4,north ,598910,14087176
3663,Delhi,2020,1,south ,570329,14596406
3664,Delhi,2020,1,central ,765149,20077306
3665,Delhi,2020,1,new delhi ,810489,19988931
3666,Delhi,2020,1,west ,1160353,23777985
3667,Delhi,2020,1,south west ,644981,13628530
3668,Delhi,2020,1,south east delhi ,947535,23452400
3669,Delhi,2020,1,shahdara ,460186,8525491
3670,Delhi,2020,1,north east ,399504,7741484
3671,Delhi,2020,1,east ,604768,15229722
3672,Delhi,2020,1,north west ,814249,16316454
3673,Delhi,2020,1,north ,648654,14929277
3674,Delhi,2020,2,south ,608062,10923789
3675,Delhi,2020,2,central ,821609,12170177
3676,Delhi,2020,2,new delhi ,858515,13813232
3677,Delhi,2020,2,west ,1243875,19803207
3678,Delhi,2020,2,south west ,688199,13239503
3679,Delhi,2020,2,south east delhi ,1011931,17824740
3680,Delhi,2020,2,shahdara ,498710,7264987
3681,Delhi,2020,2,north east ,437601,8199505
3682,Delhi,2020,2,east ,641233,12112696
3683,Delhi,2020,2,north west ,877218,15252379
3684,Delhi,2020,2,north ,704186,12248038
3685,Delhi,2020,3,south ,651616,13811149
3686,Delhi,2020,3,central ,888536,17811726
3687,Delhi,2020,3,new delhi ,912051,19755770
3688,Delhi,2020,3,west ,1343895,27128183
3689,Delhi,2020,3,south west ,739034,16937109
3690,Delhi,2020,3,south east delhi ,1088989,23898063
3691,Delhi,2020,3,shahdara ,543831,10118652
3692,Delhi,2020,3,north east ,479924,10076533
3693,Delhi,2020,3,east ,685955,15039504
3694,Delhi,2020,3,north west ,946954,19440720
3695,Delhi,2020,3,north ,763389,16007620
3696,Delhi,2020,4,south ,699303,17854518
3697,Delhi,2020,4,central ,962750,25639012
3698,Delhi,2020,4,new delhi ,971715,26150844
3699,Delhi,2020,4,west ,1451042,34210894
3700,Delhi,2020,4,south west ,792331,20471250
3701,Delhi,2020,4,south east delhi ,1174221,31579571
3702,Delhi,2020,4,shahdara ,591192,12836928
3703,Delhi,2020,4,north east ,525117,12410314
3704,Delhi,2020,4,east ,734091,19059130
3705,Delhi,2020,4,north west ,1019187,23345284
3706,Delhi,2020,4,north ,827019,19876007
3707,Delhi,2021,1,south ,749173,20969765
3708,Delhi,2021,1,central ,1035060,31035635
3709,Delhi,2021,1,new delhi ,1039016,31041137
3710,Delhi,2021,1,west ,1559112,38915888
3711,Delhi,2021,1,south west ,849223,22664421
3712,Delhi,2021,1,south east delhi ,1260645,37073920
3713,Delhi,2021,1,shahdara ,636908,14514305
3714,Delhi,2021,1,north east ,567107,13760602
3715,Delhi,2021,1,east ,786308,21924687
3716,Delhi,2021,1,north west ,1094464,26122744
3717,Delhi,2021,1,north ,890194,23178496
3718,Delhi,2021,2,south ,799590,12452858
3719,Delhi,2021,2,central ,1105640,16081193
3720,Delhi,2021,2,new delhi ,1108471,16849531
3721,Delhi,2021,2,west ,1666267,23164797
3722,Delhi,2021,2,south west ,906878,14495551
3723,Delhi,2021,2,south east delhi ,1346063,20866055
3724,Delhi,2021,2,shahdara ,681073,8634338
3725,Delhi,2021,2,north east ,607021,9159772
3726,Delhi,2021,2,east ,839185,12706259
3727,Delhi,2021,2,north west ,1170137,16390828
3728,Delhi,2021,2,north ,952374,14196592
3729,Delhi,2021,3,south ,855177,16742627
3730,Delhi,2021,3,central ,1184217,24898251
3731,Delhi,2021,3,new delhi ,1185588,24104453
3732,Delhi,2021,3,west ,1785309,31060472
3733,Delhi,2021,3,south west ,971552,18051807
3734,Delhi,2021,3,south east delhi ,1441462,29182451
3735,Delhi,2021,3,shahdara ,730209,11815518
3736,Delhi,2021,3,north east ,651695,11448245
3737,Delhi,2021,3,east ,898137,16541558
3738,Delhi,2021,3,north west ,1254464,21044731
3739,Delhi,2021,3,north ,1022251,18954263
3740,Delhi,2021,4,south ,911399,25318053
3741,Delhi,2021,4,central ,1263911,39285773
3742,Delhi,2021,4,new delhi ,1263818,40877291
3743,Delhi,2021,4,west ,1905278,45912758
3744,Delhi,2021,4,south west ,1036466,26351151
3745,Delhi,2021,4,south east delhi ,1537814,45953793
3746,Delhi,2021,4,shahdara ,779798,18226720
3747,Delhi,2021,4,north east ,696743,18668707
3748,Delhi,2021,4,east ,957392,23373406
3749,Delhi,2021,4,north west ,1339480,32390512
3750,Delhi,2021,4,north ,1093028,29311189
3751,Delhi,2022,1,south ,963775,4684890
3752,Delhi,2022,1,central ,1338465,6409314
3753,Delhi,2022,1,new delhi ,1336911,6165616
3754,Delhi,2022,1,west ,2017435,8118532
3755,Delhi,2022,1,south west ,1097016,4590648
3756,Delhi,2022,1,south east delhi ,1628157,7357594
3757,Delhi,2022,1,shahdara ,826148,2924454
3758,Delhi,2022,1,north east ,739301,3042375
3759,Delhi,2022,1,east ,1013024,3852805
3760,Delhi,2022,1,north west ,1419688,5396333
3761,Delhi,2022,1,north ,1159277,4981592
3762,Delhi,2022,2,south ,1013938,4587356
3763,Delhi,2022,2,central ,1409776,5948542
3764,Delhi,2022,2,new delhi ,1406687,5625084
3765,Delhi,2022,2,west ,2124626,7350241
3766,Delhi,2022,2,south west ,1155288,4151379
3767,Delhi,2022,2,south east delhi ,1714507,6702101
3768,Delhi,2022,2,shahdara ,870461,2605709
3769,Delhi,2022,2,north east ,779621,2614033
3770,Delhi,2022,2,east ,1066632,3524812
3771,Delhi,2022,2,north west ,1496002,4758442
3772,Delhi,2022,2,north ,1222605,4685381
3773,Delhi,2022,3,south ,1065631,4638847
3774,Delhi,2022,3,central ,1483786,5742476
3775,Delhi,2022,3,new delhi ,1479669,5253294
3776,Delhi,2022,3,west ,2235907,6992655
3777,Delhi,2022,3,south west ,1215697,3934907
3778,Delhi,2022,3,south east delhi ,1804123,6340232
3779,Delhi,2022,3,shahdara ,917096,2440841
3780,Delhi,2022,3,north east ,822038,2460332
3781,Delhi,2022,3,east ,1121596,3393992
3782,Delhi,2022,3,north west ,1575473,4399466
3783,Delhi,2022,3,north ,1288507,4322456
3784,Delhi,2022,4,south ,1117981,30173803
3785,Delhi,2022,4,central ,1558400,47227767
3786,Delhi,2022,4,new delhi ,1552874,49393657
3787,Delhi,2022,4,west ,2348063,52947462
3788,Delhi,2022,4,south west ,1275864,29437122
3789,Delhi,2022,4,south east delhi ,1894776,53203998
3790,Delhi,2022,4,shahdara ,963656,21436265
3791,Delhi,2022,4,north east ,864990,20440755
3792,Delhi,2022,4,east ,1177294,25719895
3793,Delhi,2022,4,north west ,1655730,36305502
3794,Delhi,2022,4,north ,1354521,35578523
3795,Delhi,2023,1,south ,1167338,4668358
3796,Delhi,2023,1,central ,1629248,6215071
3797,Delhi,2023,1,new delhi ,1622600,5117085
3798,Delhi,2023,1,west ,2453869,7209475
3799,Delhi,2023,1,south west ,1333347,3788785
3800,Delhi,2023,1,south east delhi ,1980915,6467886
3801,Delhi,2023,1,shahdara ,1007880,2584431
3802,Delhi,2023,1,north east ,906036,2613986
3803,Delhi,2023,1,east ,1230290,3461144
3804,Delhi,2023,1,north west ,1731494,4475947
3805,Delhi,2023,1,north ,1416994,4447621
3806,Delhi,2023,2,south ,1209741,4722227
3807,Delhi,2023,2,central ,1690547,6131587
3808,Delhi,2023,2,new delhi ,1682305,5181082
3809,Delhi,2023,2,west ,2546575,7256938
3810,Delhi,2023,2,south west ,1383364,3822184
3811,Delhi,2023,2,south east delhi ,2055408,6504770
3812,Delhi,2023,2,shahdara ,1046614,2559895
3813,Delhi,2023,2,north east ,942089,2658909
3814,Delhi,2023,2,east ,1275831,3522796
3815,Delhi,2023,2,north west ,1798636,4612879
3816,Delhi,2023,2,north ,1471979,4441772
3817,Delhi,2023,3,south ,1254751,4550171
3818,Delhi,2023,3,central ,1754227,5783803
3819,Delhi,2023,3,new delhi ,1744588,4834414
3820,Delhi,2023,3,west ,2641529,7154042
3821,Delhi,2023,3,south west ,1435544,3830749
3822,Delhi,2023,3,south east delhi ,2133173,6244678
3823,Delhi,2023,3,shahdara ,1086372,2419223
3824,Delhi,2023,3,north east ,978886,2598489
3825,Delhi,2023,3,east ,1322844,3448939
3826,Delhi,2023,3,north west ,1866671,4522240
3827,Delhi,2023,3,north ,1528582,4206541
3828,Delhi,2023,4,south ,1296849,48985333
3829,Delhi,2023,4,central ,1815323,79824178
3830,Delhi,2023,4,new delhi ,1803952,62948469
3831,Delhi,2023,4,west ,2732926,105964542
3832,Delhi,2023,4,south west ,1484762,49945667
3833,Delhi,2023,4,south east delhi ,2207076,82307831
3834,Delhi,2023,4,shahdara ,1124343,53424787
3835,Delhi,2023,4,north east ,1014509,46191065
3836,Delhi,2023,4,east ,1367614,50879134
3837,Delhi,2023,4,north west ,1933267,83288102
3838,Delhi,2023,4,north ,1583005,75047516
3839,Delhi,2024,1,south ,1345231,7099061
3840,Delhi,2024,1,central ,1884700,9854622
3841,Delhi,2024,1,new delhi ,1871468,8014093
3842,Delhi,2024,1,west ,2837958,11415594
3843,Delhi,2024,1,south west ,1541622,6256241
3844,Delhi,2024,1,south east delhi ,2291746,10307766
3845,Delhi,2024,1,shahdara ,1167913,4068339
3846,Delhi,2024,1,north east ,1054875,4076322
3847,Delhi,2024,1,east ,1418866,5605313
3848,Delhi,2024,1,north west ,2008098,6998272
3849,Delhi,2024,1,north ,1644670,6607318
3850,Goa,2018,1,north goa ,57769,0
3851,Goa,2018,1,south goa ,34167,0
3852,Goa,2018,2,north goa ,76192,0
3853,Goa,2018,2,south goa ,45982,0
3854,Goa,2018,3,north goa ,95307,0
3855,Goa,2018,3,south goa ,58495,0
3856,Goa,2018,4,north goa ,121001,0
3857,Goa,2018,4,south goa ,74349,0
3858,Goa,2019,1,north goa ,147802,0
3859,Goa,2019,1,south goa ,90350,0
3860,Goa,2019,2,north goa ,173002,835794
3861,Goa,2019,2,south goa ,105938,516438
3862,Goa,2019,3,north goa ,197361,2920579
3863,Goa,2019,3,south goa ,119833,1833313
3864,Goa,2019,4,north goa ,220385,4020633
3865,Goa,2019,4,south goa ,133161,2269910
3866,Goa,2020,1,north goa ,244309,4665113
3867,Goa,2020,1,south goa ,147591,2482120
3868,Goa,2020,2,north goa ,267533,3107692
3869,Goa,2020,2,south goa ,163106,2202434
3870,Goa,2020,3,north goa ,294195,3452539
3871,Goa,2020,3,south goa ,180767,2677227
3872,Goa,2020,4,north goa ,326479,6920554
3873,Goa,2020,4,south goa ,201105,4070564
3874,Goa,2021,1,north goa ,352593,10384042
3875,Goa,2021,1,south goa ,217442,5083630
3876,Goa,2021,2,north goa ,376703,6869935
3877,Goa,2021,2,south goa ,232403,5840426
3878,Goa,2021,3,north goa ,403952,8991751
3879,Goa,2021,3,south goa ,249506,7583360
3880,Goa,2021,4,north goa ,430814,18057835
3881,Goa,2021,4,south goa ,266364,10230419
3882,Goa,2022,1,north goa ,456250,9699093
3883,Goa,2022,1,south goa ,282378,8979705
3884,Goa,2022,2,north goa ,480353,9824694
3885,Goa,2022,2,south goa ,297426,9237463
3886,Goa,2022,3,north goa ,504946,9634393
3887,Goa,2022,3,south goa ,312884,10078371
3888,Goa,2022,4,north goa ,527826,26805263
3889,Goa,2022,4,south goa ,327376,16199949
3890,Goa,2023,1,north goa ,550554,11867919
3891,Goa,2023,1,south goa ,341631,10962012
3892,Goa,2023,2,north goa ,571111,9966416
3893,Goa,2023,2,south goa ,354909,10253228
3894,Goa,2023,3,north goa ,593176,12566389
3895,Goa,2023,3,south goa ,368655,11451325
3896,Goa,2023,4,north goa ,613836,41802647
3897,Goa,2023,4,south goa ,382087,23066256
3898,Goa,2024,1,north goa ,637677,15295964
3899,Goa,2024,1,south goa ,397373,15872352
3900,Gujarat,2018,1,anand ,68052,0
3901,Gujarat,2018,1,jamnagar ,52416,0
3902,Gujarat,2018,1,devbhumi dwarka ,15809,0
3903,Gujarat,2018,1,rajkot ,133017,0
3904,Gujarat,2018,1,aravallis ,21932,0
3905,Gujarat,2018,1,chhotaudepur ,6581,0
3906,Gujarat,2018,1,botad ,23738,0
3907,Gujarat,2018,1,bharuch ,101575,0
3908,Gujarat,2018,1,bhavnagar ,87683,0
3909,Gujarat,2018,1,junagadh ,35171,0
3910,Gujarat,2018,1,mahesana ,97004,0
3911,Gujarat,2018,1,the dangs ,2285,0
3912,Gujarat,2018,1,kheda ,43776,0
3913,Gujarat,2018,1,surat ,489852,0
3914,Gujarat,2018,1,porbandar ,12401,0
3915,Gujarat,2018,1,gandhinagar ,118201,0
3916,Gujarat,2018,1,panch mahals ,32263,0
3917,Gujarat,2018,1,narmada ,6464,0
3918,Gujarat,2018,1,gir somnath ,28292,0
3919,Gujarat,2018,1,valsad ,80138,0
3920,Gujarat,2018,1,mahisagar ,11048,0
3921,Gujarat,2018,1,sabar kantha ,45018,0
3922,Gujarat,2018,1,tapi ,14231,0
3923,Gujarat,2018,1,vadodara ,205722,0
3924,Gujarat,2018,1,banas kantha ,93506,0
3925,Gujarat,2018,1,amreli ,31443,0
3926,Gujarat,2018,1,ahmadabad ,572811,0
3927,Gujarat,2018,1,dohad ,16212,0
3928,Gujarat,2018,1,navsari ,35437,0
3929,Gujarat,2018,1,patan ,41580,0
3930,Gujarat,2018,1,kachchh ,97838,0
3931,Gujarat,2018,1,surendranagar ,38223,0
3932,Gujarat,2018,1,morbi ,30329,0
3933,Gujarat,2018,2,anand ,90911,0
3934,Gujarat,2018,2,jamnagar ,68512,0
3935,Gujarat,2018,2,devbhumi dwarka ,20804,0
3936,Gujarat,2018,2,rajkot ,174778,0
3937,Gujarat,2018,2,aravallis ,29047,0
3938,Gujarat,2018,2,chhotaudepur ,9053,0
3939,Gujarat,2018,2,botad ,32883,0
3940,Gujarat,2018,2,bharuch ,134500,0
3941,Gujarat,2018,2,bhavnagar ,115812,0
3942,Gujarat,2018,2,junagadh ,46665,0
3943,Gujarat,2018,2,mahesana ,127614,0
3944,Gujarat,2018,2,the dangs ,3047,0
3945,Gujarat,2018,2,kheda ,60097,0
3946,Gujarat,2018,2,surat ,652372,0
3947,Gujarat,2018,2,porbandar ,16137,0
3948,Gujarat,2018,2,gandhinagar ,155539,0
3949,Gujarat,2018,2,panch mahals ,42575,0
3950,Gujarat,2018,2,narmada ,8940,0
3951,Gujarat,2018,2,gir somnath ,37769,0
3952,Gujarat,2018,2,valsad ,107556,0
3953,Gujarat,2018,2,mahisagar ,15010,0
3954,Gujarat,2018,2,sabar kantha ,59955,0
3955,Gujarat,2018,2,tapi ,19255,0
3956,Gujarat,2018,2,vadodara ,271730,0
3957,Gujarat,2018,2,banas kantha ,125849,0
3958,Gujarat,2018,2,amreli ,42021,0
3959,Gujarat,2018,2,ahmadabad ,751746,0
3960,Gujarat,2018,2,dohad ,21983,0
3961,Gujarat,2018,2,navsari ,47911,0
3962,Gujarat,2018,2,patan ,55482,0
