,State,Year,Quarter,district,registeredUsers,appOpens
154,Andhra Pradesh,2019,3,srikakulam ,437939,11813195
155,Andhra Pradesh,2019,3,visakhapatnam ,1460464,54836001
156,Andhra Pradesh,2019,3,prakasam ,598568,16267041
157,Andhra Pradesh,2019,3,anantapur ,773656,22845084
158,Andhra Pradesh,2019,3,kurnool ,755024,22827473
159,Andhra Pradesh,2019,3,guntur ,1026418,28477132
160,Andhra Pradesh,2019,3,krishna ,1066546,30077671
161,Andhra Pradesh,2019,3,spsr nellore ,619592,17768733
162,Andhra Pradesh,2019,3,vizianagaram ,394375,13065845
163,Andhra Pradesh,2019,3,ysr ,574109,15833900
164,Andhra Pradesh,2019,3,west godavari ,662102,14227407
165,Andhra Pradesh,2019,3,chittoor ,1032733,34638738
166,Andhra Pradesh,2019,4,east godavari ,1195228,38299189
167,Andhra Pradesh,2019,4,srikakulam ,496266,16353822
168,Andhra Pradesh,2019,4,visakhapatnam ,1620235,70749983
169,Andhra Pradesh,2019,4,prakasam ,673522,21639748
170,Andhra Pradesh,2019,4,anantapur ,873033,30278539
171,Andhra Pradesh,2019,4,kurnool ,846885,29676997
172,Andhra Pradesh,2019,4,guntur ,1158708,37846179
173,Andhra Pradesh,2019,4,krishna ,1199971,39407473
174,Andhra Pradesh,2019,4,spsr nellore ,697154,23608360
175,Andhra Pradesh,2019,4,vizianagaram ,443810,17515311
176,Andhra Pradesh,2019,4,ysr ,646642,21543798
177,Andhra Pradesh,2019,4,west godavari ,750078,19393528
178,Andhra Pradesh,2019,4,chittoor ,1156351,44888591
179,Andhra Pradesh,2020,1,east godavari ,1329664,46142746
180,Andhra Pradesh,2020,1,srikakulam ,552007,20975989
181,Andhra Pradesh,2020,1,visakhapatnam ,1763581,77558624
182,Andhra Pradesh,2020,1,prakasam ,748655,26870693
183,Andhra Pradesh,2020,1,anantapur ,971850,36900103
184,Andhra Pradesh,2020,1,kurnool ,936293,34198350
185,Andhra Pradesh,2020,1,guntur ,1289678,45282758
186,Andhra Pradesh,2020,1,krishna ,1331602,46079408
187,Andhra Pradesh,2020,1,spsr nellore ,775440,28879364
188,Andhra Pradesh,2020,1,vizianagaram ,490683,21562104
189,Andhra Pradesh,2020,1,ysr ,717865,26166193
190,Andhra Pradesh,2020,1,west godavari ,843835,24542868
191,Andhra Pradesh,2020,1,chittoor ,1270907,51354573
192,Andhra Pradesh,2020,2,east godavari ,1459116,45884498
193,Andhra Pradesh,2020,2,srikakulam ,608002,23808009
194,Andhra Pradesh,2020,2,visakhapatnam ,1904719,69684456
195,Andhra Pradesh,2020,2,prakasam ,830709,32255276
196,Andhra Pradesh,2020,2,anantapur ,1076953,39704703
197,Andhra Pradesh,2020,2,kurnool ,1035093,36268390
198,Andhra Pradesh,2020,2,guntur ,1426271,44267596
199,Andhra Pradesh,2020,2,krishna ,1459041,41234166
200,Andhra Pradesh,2020,2,spsr nellore ,854459,30816403
201,Andhra Pradesh,2020,2,vizianagaram ,537798,24370380
202,Andhra Pradesh,2020,2,ysr ,796769,29644037
203,Andhra Pradesh,2020,2,west godavari ,944829,26583613
204,Andhra Pradesh,2020,2,chittoor ,1385916,49820171
205,Andhra Pradesh,2020,3,east godavari ,1601940,64292857
206,Andhra Pradesh,2020,3,srikakulam ,667858,31794753
207,Andhra Pradesh,2020,3,visakhapatnam ,2058346,102589371
208,Andhra Pradesh,2020,3,prakasam ,915240,44970519
209,Andhra Pradesh,2020,3,anantapur ,1186851,55714787
210,Andhra Pradesh,2020,3,kurnool ,1132240,49164718
211,Andhra Pradesh,2020,3,guntur ,1567595,62427501
212,Andhra Pradesh,2020,3,krishna ,1599289,61028114
213,Andhra Pradesh,2020,3,spsr nellore ,937176,43951448
214,Andhra Pradesh,2020,3,vizianagaram ,587784,31199437
215,Andhra Pradesh,2020,3,ysr ,877909,41578067
216,Andhra Pradesh,2020,3,west godavari ,1053674,38126238
217,Andhra Pradesh,2020,3,chittoor ,1506503,69462572
218,Andhra Pradesh,2020,4,east godavari ,1746280,82605352
219,Andhra Pradesh,2020,4,srikakulam ,726761,36770992
220,Andhra Pradesh,2020,4,visakhapatnam ,2209658,124730170
221,Andhra Pradesh,2020,4,prakasam ,999462,52839846
222,Andhra Pradesh,2020,4,anantapur ,1295872,69562398
223,Andhra Pradesh,2020,4,kurnool ,1230466,60615045
224,Andhra Pradesh,2020,4,guntur ,1712940,81291172
225,Andhra Pradesh,2020,4,krishna ,1744028,81787771
226,Andhra Pradesh,2020,4,spsr nellore ,1022944,54765443
227,Andhra Pradesh,2020,4,vizianagaram ,634462,35110885
228,Andhra Pradesh,2020,4,ysr ,959182,49596303
229,Andhra Pradesh,2020,4,west godavari ,1163179,51170162
230,Andhra Pradesh,2020,4,chittoor ,1631331,88232999
231,Andhra Pradesh,2021,1,east godavari ,1878769,91478749
232,Andhra Pradesh,2021,1,srikakulam ,782604,40590058
233,Andhra Pradesh,2021,1,visakhapatnam ,2368081,135908324
234,Andhra Pradesh,2021,1,prakasam ,1075936,56911479
235,Andhra Pradesh,2021,1,anantapur ,1394849,73375049
236,Andhra Pradesh,2021,1,kurnool ,1323411,65326230
237,Andhra Pradesh,2021,1,guntur ,1843237,92731167
238,Andhra Pradesh,2021,1,krishna ,1876458,92941553
